Step,Desired Gap (s),Actual Gap (s),Error (s),Ego Speed (km/h),Target Speed (km/h)
79,2.0,2.013057858743146,0.0130578587431458,35.71126998631537,19.15916809534985
80,2.0,2.0020972960285337,0.0020972960285337017,35.4945517038336,18.921233458963847
81,2.0,1.99117264991594,-0.008827350084060104,35.27429048233384,18.68508638237779
82,2.0,1.9807096947927376,-0.01929030520726238,35.043134009508556,18.45366177121979
83,2.0,1.9725580866810855,-0.027441913318914546,34.7691555385101,18.223454202190453
84,2.0,1.9705150220303376,-0.02948497796966243,34.38874642149784,17.997556442711858
85,2.0,1.9731110547388757,-0.026888945261124286,33.9410581682447,18.13328234110056
86,2.0,1.9780896092034819,-0.02191039079651813,33.44366845227023,16.496374987797974
87,2.0,1.9841564800323488,-0.01584351996765121,32.92205204405296,16.51410888102744
88,2.0,1.9927291958915774,-0.007270804108422624,32.38060715075245,16.697673199524814
89,2.0,2.0031743414437493,0.0031743414437492845,31.83369728128523,16.979208073860416
90,2.0,2.015355464501756,0.015355464501756177,31.285802682359442,17.220494770839785
91,2.0,2.0287634475128353,0.028763447512835327,30.741068770434353,17.168281572085856
92,2.0,2.043135865980751,0.04313586598075103,30.197057827534863,16.862665642426382
93,2.0,2.0576023042204112,0.05760230422041124,29.66366007397609,16.4964886237278
94,2.0,2.0724582340765796,0.07245823407657959,29.136256465253716,16.147286896402708
95,2.0,2.087184064215638,0.08718406421563785,28.622710180301638,15.837253757809036
96,2.0,2.1021840015618896,0.10218400156188956,28.11758974316238,15.549291708352982
97,2.0,2.117000930505642,0.11700093050564186,27.62754772928637,15.314100116461006
98,2.0,2.1321370457217173,0.13213704572171725,27.146946201330998,15.136982535721105
99,2.0,2.1471811293441228,0.14718112934412275,26.681701738720054,14.999110830666384
100,2.0,2.1625672568342007,0.1625672568342007,26.226302491472975,14.865203329387839
101,2.0,2.17779153486347,0.17779153486347,25.78615035970987,14.711998730476244
102,2.0,2.193191789979752,0.19319178997975195,25.35599872814502,14.525109192650453
103,2.0,2.208237333131028,0.2082373331310281,24.940814999245774,14.31680978666708
104,2.0,2.2232873193523486,0.22328731935234858,24.535628819237807,14.103883169243533
105,2.0,2.23788488851022,0.23788488851021983,24.145027984275714,13.90699073828518
106,2.0,2.2524554881604657,0.2524554881604657,23.764278388595223,13.732530615966922
107,2.0,2.2665869206726863,0.2665869206726863,23.397592811242063,13.578530691975468
108,2.0,2.2806790696111308,0.28067906961113076,23.04049202316148,13.430531100536616
109,2.0,2.294283847884628,0.2942838478846279,22.69690936024619,13.277098270898799
110,2.0,2.307748159651614,0.30774815965161384,22.3626137520101,13.110930459313147
111,2.0,2.320607381195048,0.32060738119504784,22.04126548810165,12.936433894411449
112,2.0,2.3332025289584184,0.3332025289584184,21.72889590905211,12.760468878483735
113,2.0,2.345129953761609,0.3451299537616088,21.428835760978906,12.59256652930137
114,2.0,2.3567531006412685,0.35675310064126853,21.137371197559133,12.43547127284888
115,2.0,2.3677065937234745,0.3677065937234745,20.85750030226521,12.288285712267825
116,2.0,2.3783262624225974,0.37832626242259737,20.585802273838198,12.14428090657059
117,2.0,2.3882509326555574,0.38825093265555743,20.324928377517782,11.998457369369365
118,2.0,2.3977875064513814,0.3977875064513814,20.071743973653167,11.847722464068157
119,2.0,2.4065864527430305,0.4065864527430305,19.828588806865863,11.69495812940042
120,2.0,2.418145309926047,0.41814530992604704,19.566841083978776,11.542830022495496
121,2.0,2.4364116193144723,0.43641161931447225,19.257383644494535,11.395105192885033
122,2.0,2.460502177130831,0.46050217713083086,18.91153344761273,11.252042360215782
123,2.0,2.4891297261671306,0.4891297261671306,18.543024831007408,11.114914784580153
124,2.0,2.5221141314133684,0.5221141314133684,18.156353177602714,10.98045736314185
125,2.0,2.5100784823746367,0.5100784823746367,18.100650913397875,10.846271468919042
126,2.0,2.506774543658337,0.5067745436583371,17.980242621972298,10.71021727929915
127,2.0,2.5016122831064513,0.5016122831064513,17.871217878173955,10.573032358190032
128,2.0,2.5092196638137096,0.5092196638137096,17.67224496844387,10.472061180838937
129,2.0,2.5243299055303643,0.5243299055303643,17.42708869267885,10.548785935248402
130,2.0,2.544973274238344,0.5449732742383442,17.15755943167659,10.917241159185796
131,2.0,2.570480262295435,0.570480262295435,16.8765812799018,11.575102338539113
132,2.0,2.600791711891707,0.600791711891707,16.591047070204095,12.432889208859317
133,2.0,2.6359236364861753,0.6359236364861753,16.30527369398287,13.391712909148449
134,2.0,2.6759703495116827,0.6759703495116827,16.021140740744325,14.37208770075496
135,2.0,2.720797227818492,0.7207972278184922,15.740844424618224,15.350684670303712
136,2.0,2.7706925580448303,0.7706925580448303,15.463947917571426,16.325260073606437
