Step,Desired Gap (s),Actual Gap (s),Error (s),Ego Speed (km/h),Target Speed (km/h),Incremental Torque (Nm),Incremental Brake Torque (Nm),Vehicle Distance (m)
0,4.0,8.977039900241355,4.977039900241355,40.998246933231876,67.95947140707948,800.0,0.0,102.23413848876953
1,4.0,8.909719691005032,4.909719691005032,41.45783120452249,67.95947140707949,800.0,0.0,102.60490417480469
2,4.0,8.823326048912827,4.823326048912827,42.011991049655414,67.9594714070794,800.0,0.0,102.96819305419922
3,4.0,8.70627320270564,4.70627320270564,42.72334228752397,67.95947140707942,800.0,0.0,103.32252502441406
4,4.0,8.572709537183053,4.572709537183053,43.53322390046253,67.9594714070794,800.0,0.0,103.66602325439453
5,4.0,8.432816947047495,4.432816947047495,44.39701791225417,67.9594714070794,800.0,0.0,103.99775695800781
6,4.0,8.291131225181337,4.291131225181337,45.29446232765465,67.95947140707946,800.0,0.0,104.31731414794922
7,4.0,8.149916600707357,4.149916600707357,46.214819400168416,67.95947140707943,800.0,0.0,104.6241455078125
8,4.0,8.01058476648894,4.01058476648894,47.15080047449999,67.95947140707943,796.405279691897,0.0,104.9181900024414
9,4.0,7.87408132707096,3.87408132707096,48.096595034200526,67.95947140707942,769.9137597786915,0.0,105.19902801513672
10,4.0,7.741437456450428,3.741437456450428,49.045318443078784,67.95947140707943,744.1777749291966,0.0,105.4670181274414
11,4.0,7.613450811629021,3.613450811629021,49.99022272860859,67.95947140707949,719.3519431145082,0.0,105.72169494628906
12,4.0,7.491837929710476,3.491837929710476,50.91790785624326,67.95947140707955,695.7690398648596,0.0,105.96353149414062
13,4.0,7.378526150757233,3.3785261507572333,51.81172917157241,67.95947140707949,673.8023364721209,0.0,106.19283294677734
14,4.0,7.274309003042741,3.274309003042741,52.66153633033206,67.95947140707958,653.6048124671544,0.0,106.41007995605469
15,4.0,7.179283158891826,3.1792831588918258,53.46179585215214,67.95947140707965,635.1941715729293,0.0,106.61593627929688
16,4.0,7.093143435563958,3.0931434355639578,54.210175506839605,67.95947140707946,618.5102131724825,0.0,106.81126403808594
17,4.0,7.015307259513145,3.015307259513145,54.90662876035201,67.95947140707942,603.4390007259574,0.0,106.99635314941406
18,4.0,6.945161443120119,2.945161443120119,55.55244909695465,67.9594714070794,589.8608596293022,0.0,107.17242431640625
19,4.0,6.881990489873472,2.8819904898734716,56.15007997684034,67.9594714070794,577.6363779999892,0.0,107.340087890625
20,4.0,6.825095405509028,2.8250954055090283,56.702383341486424,67.9594714070794,566.6294653071595,0.0,107.49977111816406
21,4.0,6.773831416886499,2.773831416886499,57.212508598527386,67.9594714070794,556.7146862461581,0.0,107.65219116210938
22,4.0,6.727586897230367,2.727586897230367,57.68367498826643,67.9594714070794,547.773114231412,0.0,107.79776000976562
23,4.0,6.685803508414309,2.685803508414309,58.11900998806767,67.9594714070794,539.6962295656068,0.0,107.9367446899414
24,4.0,6.648016006438077,2.648016006438077,58.521560896183765,67.9594714070794,532.3936795134399,0.0,108.07007598876953
25,4.0,6.613784873327303,2.613784873327303,58.894161554936886,67.9594714070794,525.7801160176138,0.0,108.1981430053711
26,4.0,6.582706736511786,2.5827067365117857,59.239508403468136,67.95947140707942,519.7772364297969,0.0,108.32119750976562
27,4.0,6.554455742063714,2.5544557420637144,59.55994865905325,67.95947140707942,514.3218129247471,0.0,108.43973541259766
28,4.0,6.5287169208798295,2.5287169208798295,59.85770608385069,67.95947140707943,509.35273347602043,0.0,108.55389404296875
29,4.0,6.505233720829825,2.5052337208298248,60.13473551046489,67.9594714070794,504.8202439789882,0.0,108.66403034329414
30,4.0,6.483789103478883,2.483789103478883,60.392857743485905,67.9594714070794,500.6822826936217,0.0,108.77070915699005
31,4.0,6.464162684547236,2.4641626845472357,60.63367420149322,67.95947140707942,496.8961065412555,0.0,108.8738706111908
32,4.0,6.446180575830181,2.446180575830181,60.858681105323534,67.95947140707946,493.4280282029025,0.0,108.97390222549438
33,4.0,6.429617245944257,2.4296172459442573,61.06973000457171,67.95947140707942,490.2343569898272,0.0,109.07083034515381
34,4.0,6.414258709120787,2.414258709120787,61.26884613027783,67.95947140707943,487.2736897229748,0.0,109.16506385803223
35,4.0,6.399922241512494,2.3999222415124937,61.457591650897214,67.95947140707943,484.5106451609262,0.0,109.25661325454712
36,4.0,6.386475750266561,2.386475750266561,61.63715351055741,67.95947140707949,481.91965439631457,0.0,109.3456072807312
37,4.0,6.373796752063972,2.3737967520639716,61.80848564824366,67.9594714070795,479.47698505961574,0.0,109.43186807632446
38,4.0,6.361822169578341,2.361822169578341,61.97233168232365,67.95947140707946,477.1704547566345,0.0,109.51582044363022
39,4.0,6.35048771606578,2.35048771606578,62.12930426506594,67.95947140707955,474.98762425336463,0.0,109.59760653972626
