Step,Desired Gap (s),Actual Gap (s),Error (s),Ego Speed (km/h),Target Speed (km/h),Req Torque (Nm),Req Brake Torque (Nm)
0,4.0,8.34055788647124,4.34055788647124,51.89878243278766,77.43787291589307,630.0,0.0
1,4.0,8.386753278646193,4.386753278646193,51.76523743301058,77.43786372810405,630.0,0.0
2,4.0,8.498283692389052,4.498283692389052,51.23842815192428,77.43785401202895,630.0,0.0
3,4.0,8.671843273483608,4.671843273483608,50.36670665103466,77.4378529687407,630.0,0.0
4,4.0,8.898659808479934,4.898659808479934,49.238521816592595,77.4378543671812,630.0,0.0
5,4.0,9.157783125875747,5.157783125875747,48.003348821388265,77.43785244806276,630.0,0.0
6,4.0,9.44457914070093,5.444579140700929,46.70559804043807,77.43786533332008,630.0,0.0
7,4.0,9.757590886415873,5.757590886415873,45.36887596598411,77.43786237445427,630.0,0.0
8,4.0,10.095267707020652,6.095267707020652,44.01406581104642,77.4378632492467,630.0,0.0
9,4.0,10.45712904992259,6.457129049922591,42.654423602047764,77.43786659781719,630.0,0.0
10,4.0,10.843526919825884,6.843526919825884,41.29831169697576,77.43786296073331,630.0,0.0
11,4.0,11.255290769835808,7.255290769835808,39.95129230486078,77.4378565351161,630.0,0.0
12,4.0,11.69499319094393,7.694993190943929,38.61256766892167,77.43786362803057,630.0,0.0
13,4.0,12.163291728881305,8.163291728881305,37.28851562416819,77.43786586995157,630.0,0.0
14,4.0,12.66303495423413,8.66303495423413,35.97828600011517,77.43786475111028,630.0,0.0
15,4.0,13.18721425715346,9.18721425715346,34.70795957058231,77.43785307349272,630.0,0.0
16,4.0,13.733429258023587,9.733429258023587,33.48552225269714,77.43785567326222,630.0,0.0
17,4.0,14.298644150377152,10.298644150377152,32.31768289428367,77.43785821306717,630.0,0.0
18,4.0,14.894424636469704,10.894424636469704,31.178371298680688,77.43786839775817,630.0,0.0
19,4.0,15.537148412407946,11.537148412407946,30.039376569957707,77.43786814804774,630.0,0.0
20,4.0,16.23063207078814,12.23063207078814,28.903808035533494,77.43786251805633,630.0,0.0
21,4.0,16.975560970090566,12.975560970090566,27.7802458812312,77.43786195145215,630.0,0.0
22,4.0,17.786188350547956,13.786188350547956,26.655506931728834,77.43785742802808,630.0,0.0
23,4.0,18.9565783943978,14.956578394397798,25.145494190646744,77.43787102088464,630.0,0.0
24,4.0,23.375442917618248,19.375442917618248,20.50988791300106,77.43786431958625,630.0,0.0
25,4.0,30.182287757633247,26.182287757633247,15.983444992152553,77.43785459045802,630.0,0.0
26,4.0,42.23709594574748,38.23709594574748,11.497752685776307,77.43785748829978,-0.0,0.0
27,4.0,69.12941560372691,65.12941560372691,7.074688261470383,77.43785259259575,-0.0,0.0
28,4.0,65.10024726141046,61.10024726141046,7.566383593946189,77.43785885899348,-0.0,0.0
29,4.0,62.626599367299406,58.626599367299406,7.920687125306602,77.43786184521589,-0.0,0.0
30,4.0,62.2417728513646,58.2417728513646,8.025230045842287,77.43785573763962,-0.0,0.0
31,4.0,62.52263853111542,58.52263853111542,8.044447703970091,77.43785090901174,-0.0,0.0
32,4.0,63.6116076119569,59.6116076119569,7.961107279141787,77.43785152833674,-0.0,0.0
33,4.0,64.81216307045862,60.812163070458624,7.867104573092822,77.4378613149151,-0.0,0.0
34,4.0,66.42988359156014,62.42988359156014,7.727808197635292,77.4378604527155,-0.0,0.0
35,4.0,67.97146538707486,63.97146538707486,7.603773575757741,77.43786326231572,-0.0,0.0
36,4.0,69.85296235661896,65.85296235661896,7.448946572095754,77.43786132972672,-0.0,0.0
37,4.0,71.5691480859345,67.5691480859345,7.319219463633779,77.4378693721406,-0.0,0.0
38,4.0,73.64736875477014,69.64736875477014,7.160314542348573,77.43787877517094,-0.0,0.0
39,4.0,75.51653013751026,71.51653013751026,7.029627974515288,77.43787973957319,-0.0,0.0
40,4.0,77.81744684982773,73.81744684982773,6.867049815426871,77.43786774155403,-0.0,0.0
41,4.0,79.84073055064333,75.84073055064333,6.73725944009859,77.43786639716537,-0.0,0.0
42,4.0,82.32116829888206,78.32116829888206,6.577242601808031,77.4378403682597,-0.0,0.0
43,4.0,84.47830635059167,80.47830635059167,6.451257676318737,77.43783635608625,-0.0,0.0
44,4.0,87.1407313010671,83.1407313010671,6.2949150889990175,77.43783664408296,-0.0,0.0
45,4.0,89.43705804129654,85.43705804129654,6.1730778401344155,77.43784938351655,-0.0,0.0
46,4.0,92.28536640311904,88.28536640311904,6.021195514635238,77.4378545311164,-0.0,0.0
47,4.0,94.72562083629109,90.72562083629109,5.903781715420461,77.4378562145526,-0.0,0.0
48,4.0,97.76662891630733,93.76662891630733,5.756744797147812,77.43787644863265,-0.0,0.0
49,4.0,100.42850572207557,96.42850572207557,5.639852775085482,77.43787739174981,-0.0,0.0
50,4.0,103.77667352689907,99.77667352689907,5.492504005398522,77.43788703016152,-0.0,0.0
51,4.0,106.62224571003055,102.62224571003055,5.3796616987476575,77.43787761731183,-0.0,0.0
52,4.0,110.20727752846021,106.20727752846021,5.23736805427806,77.43786256513575,-0.0,0.0
53,4.0,113.23557092245102,109.23557092245102,5.129181214994641,77.43786172773513,-0.0,0.0
54,4.0,117.08073638153245,113.08073638153245,4.991620641053886,77.43786320192994,-0.0,0.0
55,4.0,120.30720851137718,116.30720851137718,4.887867761951884,77.4378536978639,-0.0,0.0
56,4.0,124.44001253454293,120.44001253454293,4.754693997148116,77.43784363785308,-0.0,0.0
57,4.0,127.8810818779496,123.8810818779496,4.6551719905616915,77.43784295024305,-0.0,0.0
58,4.0,132.30739670041052,128.30739670041052,4.526951664800178,77.43785052373983,-0.0,0.0
59,4.0,135.91804505096212,131.91804505096212,4.433509408950438,77.437856691927,-0.0,0.0
60,4.0,140.71721498818795,136.71721498818795,4.308255667467863,77.43785990221828,-0.0,0.0
61,4.0,144.5912254830211,140.5912254830211,4.218107432865148,77.43786618803684,-0.0,0.0
62,4.0,149.80013232297506,145.80013232297506,4.0958822151910645,77.43787385879014,-0.0,0.0
63,4.0,153.94815387084242,149.94815387084242,4.009343144573426,77.4378766284731,-0.0,0.0
64,4.0,159.58806939773083,155.58806939773083,3.890658217811744,77.43788100993264,-0.0,0.0
65,4.0,164.0344034176123,160.0344034176123,3.807618802246652,77.43787383423116,-0.0,0.0
66,4.0,170.1496041353332,166.1496041353332,3.692415652191182,77.43787865976633,-0.0,0.0
67,4.0,174.92075281569566,170.92075281569566,3.6127770136779804,77.43787190657459,-0.0,0.0
