Step,Desired Gap (s),Actual Gap (s),Error (s),Ego Speed (km/h),Target Speed (km/h),Incremental Torque (Nm),Incremental Brake Torque (Nm)
0,4.0,5.316050391935759,1.3160503919357591,79.22779956214539,67.9594712907111,276.6704249374196,0.0
1,4.0,5.2695967749954065,1.2695967749954065,79.8160244577822,67.95947140707946,267.7434976096997,0.0
2,4.0,5.222818152861359,1.2228181528613593,80.4140212163666,67.9594714070794,258.7563765651474,0.0
3,4.0,5.179783066491913,1.179783066491913,80.95858300546108,67.9594714070794,250.488082489259,0.0
4,4.0,5.152311769898424,1.1523117698984242,81.26232116384382,67.95947140707945,245.20045266986463,0.0
5,4.0,5.140189282504891,1.140189282504891,81.32407129689075,67.95947140707943,242.85068260002308,0.0
6,4.0,5.139341115413535,1.1393411154135347,81.2084267270712,67.95947140707948,242.65886450704068,0.0
7,4.0,5.1464880657247045,1.1464880657247045,80.9687055730173,67.95947140707962,243.99786179688766,0.0
8,4.0,5.159336540767534,1.1593365407675336,80.64335049864029,67.95947140707948,246.4293897822197,0.0
9,4.0,5.1762201966092025,1.1762201966092025,80.260306212923,67.95947140707949,249.63505182135634,0.0
10,4.0,5.195954926802148,1.1959549268021483,79.84006334302732,67.9594714070794,276.70985410812483,0.0
11,4.0,5.216987167740006,1.2169871677400064,79.40713804402482,67.95947140707942,280.7142145533051,0.0
12,4.0,5.238044455112255,1.238044455112255,78.9813807316325,67.9594714070794,284.7255778630569,0.0
13,4.0,5.258983413256607,1.2589834132566073,78.56470962034996,67.9594714070794,288.7163837873276,0.0
14,4.0,5.279678764270537,1.2796787642705372,78.1585804155717,67.95947140707946,292.6624911133794,0.0
15,4.0,5.300072497572587,1.3000724975725868,77.76393941598492,67.95947140707943,296.5527585773196,0.0
16,4.0,5.32007484533927,1.3200748453392697,77.38143874743064,67.95947140707943,300.3697851003668,0.0
17,4.0,5.339666722998698,1.3396667229986976,77.01139030080155,67.95947140707942,304.10987755680554,0.0
18,4.0,5.358789891332266,1.3587898913322656,76.65398013028191,67.95947140707943,307.761680530587,0.0
19,4.0,5.377456308926143,1.377456308926143,76.3091218100114,67.95947140707949,311.3274692983876,0.0
20,4.0,5.395612416617219,1.3956124166172188,75.97673063921633,67.95947140707955,314.796745214652,0.0
21,4.0,5.413269385116158,1.4132693851161582,75.65653252177687,67.95947140707949,318.1715933023037,0.0
22,4.0,5.430436095668134,1.4304360956681341,75.34819194100524,67.95947140707958,321.4536413858059,0.0
23,4.0,5.44711835062619,1.44711835062619,75.05119660143686,67.95947140707965,324.6438819721688,0.0
24,4.0,5.463349637021444,1.4633496370214436,74.76492540998667,67.95947140707946,327.74868603901206,0.0
25,4.0,5.479139907971026,1.4791399079710263,74.48888156120206,67.95947140707942,330.76986449115446,0.0
26,4.0,5.494507798699079,1.494507798699079,74.22261868455374,67.9594714070794,333.7109342241486,0.0
27,4.0,5.50945611355628,1.50945611355628,73.9657666056783,67.9594714070794,336.57234312926096,0.0
28,4.0,5.523997103419146,1.5239971034191457,73.71794735538157,67.9594714070794,339.35638139101,0.0
29,4.0,5.538140823897657,1.538140823897657,73.47884713349241,67.9594714070794,342.06492613624295,0.0
30,4.0,5.551898464272319,1.5518984642723188,73.24816572226003,67.9594714070794,344.70007985582606,0.0
31,4.0,5.5653030733493045,1.5653030733493045,73.02562552349815,67.9594714070794,347.26821368399084,0.0
32,4.0,5.578325487291033,1.5783254872910328,72.81095973105677,67.9594714070794,349.7635707657505,0.0
33,4.0,5.590981424354273,1.5909814243542728,72.60392413287113,67.9594714070794,352.18915204633,0.0
34,4.0,5.603325183489165,1.603325183489165,72.40371986789351,67.95947140707942,354.5553698571579,0.0
35,4.0,5.615349216044142,1.6153492160441418,72.21017970138209,67.95947140707942,356.86070671855725,0.0
36,4.0,5.627004473386545,1.6270044733865454,72.02392894011719,67.95947140707943,359.0957139029897,0.0
37,4.0,5.638336265854569,1.6383362658545693,71.8441223249195,67.9594714070794,361.269044719642,0.0
38,4.0,5.649359946620478,1.6493599466204776,71.6705490640418,67.9594714070794,363.38364078308615,0.0
39,4.0,5.660018576507788,1.6600185765077882,71.50372371867851,67.95947140707942,365.4284932823414,0.0
40,4.0,5.670340882828667,1.6703408828286674,71.34330560089684,67.95947140707946,367.40912620350645,0.0
41,4.0,5.680330279195723,1.680330279195723,71.18901179196239,67.95947140707942,369.32613989856446,0.0
42,4.0,5.6899946641346615,1.6899946641346615,71.04058583740004,67.95947140707943,371.18101538121425,0.0
43,4.0,5.699344364246188,1.6993443642461878,70.89778801247982,67.95947140707943,372.9757112021048,0.0
44,4.0,5.7083935499833345,1.7083935499833345,70.76041484716517,67.95947140707949,374.71294333649735,0.0
45,4.0,5.717162193486665,1.717162193486665,70.62823794539399,67.9594714070795,376.39655470749034,0.0
46,4.0,5.72563377784498,1.7256337778449797,70.50109808168119,67.95947140707946,378.0232871593493,0.0
47,4.0,5.733829615094438,1.7338296150944377,70.37879516452413,67.95947140707955,379.5972515402797,0.0
48,4.0,5.741758069600039,1.7417580696000394,70.26116608361201,67.95947140707949,381.120041686838,0.0
49,4.0,5.749417981677538,1.7494179816775377,70.1480395446834,67.95947140707945,382.59139303617246,0.0
50,4.0,5.756823327045698,1.7568233270456979,70.03926922322924,67.95947140707945,384.0139977398914,0.0
51,4.0,5.763983818531535,1.7639838185315346,69.93468883495811,67.95947140707946,385.3897131034715,0.0
52,4.0,5.770910963812968,1.7709109638129679,69.83415048069246,67.95947140707955,386.7207503861157,0.0
53,4.0,5.7776185256589745,1.7776185256589745,69.737530175441,67.95947140707958,388.00976558758913,0.0
54,4.0,5.7840907455011905,1.7840907455011905,69.6446794792799,67.95947140707968,389.25365352490763,0.0
55,4.0,5.790336749208637,1.7903367492086373,69.55547192205646,67.95947140707959,390.45416605526754,0.0
56,4.0,5.796368613677044,1.7963686136770436,69.46977133942465,67.9594714070796,391.61362883393,0.0
57,4.0,5.802194547958769,1.802194547958769,69.38746357226667,67.95947140707953,392.7336178177669,0.0
58,4.0,5.807814538695365,1.8078145386953652,69.30841631578019,67.95947140707943,393.8141022622558,0.0
59,4.0,5.813238604794876,1.8132386047948756,69.23252487483536,67.95947140707949,394.8570132993824,0.0
60,4.0,5.81846649551416,1.8184664955141603,69.15967424784888,67.95947140707943,395.8622776501737,0.0
61,4.0,5.823511202398882,1.8235112023988824,69.08975606478931,67.95947140707942,396.8324057445046,0.0
62,4.0,5.828370867593322,1.8283708675933221,69.02264028168455,67.95947152344777,397.76700833209327,0.0
63,4.0,5.833083314468943,1.8330833144689427,68.95825658916928,67.95947152344785,398.67344575090846,0.0
64,4.0,5.837619102323647,1.8376191023236466,68.89650340186633,67.95947152344776,399.54595590060876,0.0
65,4.0,5.841997303926772,1.8419973039267719,68.83727236678246,67.95947152344776,400.38823562831334,0.0
66,4.0,5.846218994204029,1.8462189942040288,68.78048694091345,67.95947152344782,401.2004784810511,0.0
67,4.0,5.850286398662174,1.850286398662174,68.72604540129232,67.95947152344777,401.98309760364936,0.0
68,4.0,5.854204086715724,1.8542040867157237,68.67388026396725,67.95947152344773,402.73696992445815,0.0
69,4.0,5.8579742418086695,1.8579742418086695,68.62388119372199,67.95947152344776,403.46249892325415,0.0
70,4.0,5.861611429909479,1.8616114299094786,68.57599399708425,67.95947152344775,404.1625136005351,0.0
71,4.0,5.865111893613398,1.8651118936133981,68.53012778168274,67.95947152344773,404.83626289480344,0.0
72,4.0,5.86848513893476,1.8684851389347603,68.48621159060487,67.95947152344773,405.48558603267406,0.0
73,4.0,5.871732767943544,1.871732767943544,68.44417726579647,67.95947152344775,406.1107815781784,0.0
74,4.0,5.8748655200678135,1.8748655200678135,68.4039442032105,67.95947152344773,406.7139275491464,0.0
75,4.0,5.877874510758911,1.877874510758911,68.36544461743073,67.95947152344773,407.29327781677,0.0
76,4.0,5.880760230639751,1.8807602306397513,68.32862451462313,67.9594714070794,407.8489171158201,0.0
77,4.0,5.883528835259608,1.8835288352596082,68.29342049593411,67.9594714070794,408.3820330823434,0.0
78,4.0,5.88621424501898,1.88621424501898,68.25975094978963,67.9594714070794,408.8992240504502,0.0
