Time(s),Ego_Speed(km/h),Target_Speed(km/h),Actual_Distance(m),Desired_Distance(m),Control_Mode,Lane_Offset,ACC_State,ACC_Active,V_target_Setting,V_min_Setting,G2_Setting,Manual_Throttle,Manual_Brake,Manual_Steer
98.35116267204285,96.49796089457145,96.53904792303875,112.36405181884766,107.21995654952383,TIME,-0.0007306186016649008,Hybrid Python+Simulink Mode,True,150.0,20.0,4.0,0.8154383301734924,0.0,-4.5140164729673415e-05
98.45313286781311,96.4975691034907,96.53903989307354,112.36481094360352,107.21952122610078,TIME,-0.0007306186016649008,Hybrid Python+Simulink Mode,True,150.0,20.0,4.0,0.815456211566925,0.0,1.7802111642595264e-06
98.56024074554443,96.49724172113807,96.53903568594404,112.36554718017578,107.21915746793118,TIME,-0.00024353952903766185,Hybrid Python+Simulink Mode,True,150.0,20.0,4.0,0.8154729604721069,0.0,0.00028318088152445853
98.6598539352417,96.49694889147531,96.53902755276867,112.36634063720703,107.21883210163924,TIME,-0.00024353952903766185,Hybrid Python+Simulink Mode,True,150.0,20.0,4.0,0.815490186214447,0.0,-2.564593160059303e-05
98.76005125045776,96.49670248166738,96.53903648496201,112.36735534667969,107.21855831296375,TIME,-0.0004870790580753237,Hybrid Python+Simulink Mode,True,150.0,20.0,4.0,0.8155107498168945,0.0,-0.00013993977336212993
98.86481785774231,96.49649924403234,96.53904985022868,112.36814880371094,107.21833249336926,TIME,-0.0007306186016649008,Hybrid Python+Simulink Mode,True,150.0,20.0,4.0,0.8155269622802734,0.0,-0.00013206512085162103
98.96469926834106,96.49634516492468,96.53906307360243,112.36892700195312,107.21816129436075,TIME,-0.0007306186016649008,Hybrid Python+Simulink Mode,True,150.0,20.0,4.0,0.8155422806739807,0.0,1.0828769063664367e-06
99.06638836860657,96.49624046019366,96.53908339213801,112.3697280883789,107.21804495577074,TIME,-0.0009741581161506474,Hybrid Python+Simulink Mode,True,150.0,20.0,4.0,0.8155574202537537,0.0,-0.00010895054583670571
99.18478155136108,96.49616585365955,96.53908638054779,112.37049102783203,107.21796205962171,TIME,-0.0009741581161506474,Hybrid Python+Simulink Mode,True,150.0,20.0,4.0,0.8155715465545654,0.0,3.6000394629809307e-06
99.31033754348755,96.49612706323185,96.53908856680883,112.37141418457031,107.2179189591465,TIME,-0.00024353952903766185,Hybrid Python+Simulink Mode,True,150.0,20.0,4.0,0.8155879974365234,0.0,0.00041040978976525366
99.44792342185974,96.49612625777071,96.53908608122657,112.37215423583984,107.21791806418967,TIME,-0.00024353952903766185,Hybrid Python+Simulink Mode,True,150.0,20.0,4.0,0.8156008124351501,0.0,-1.9280276319477707e-05
99.5568220615387,96.49614855965478,96.5390728152834,112.37288665771484,107.21794284406087,TIME,-0.0004870790580753237,Hybrid Python+Simulink Mode,True,150.0,20.0,4.0,0.8156132102012634,0.0,-0.00014631035446655005
99.66611456871033,96.49621092127352,96.53907171544003,112.37361145019531,107.21801213474835,TIME,-0.0007306186016649008,Hybrid Python+Simulink Mode,True,150.0,20.0,4.0,0.815625011920929,0.0,-0.00010119323269464076
99.76951742172241,96.49628401250163,96.53905577059935,112.37435150146484,107.21809334722403,TIME,-0.0007306186016649008,Hybrid Python+Simulink Mode,True,150.0,20.0,4.0,0.815636932849884,0.0,-3.751271651708521e-05
99.8756365776062,96.49639807651445,96.5390560611655,112.37531280517578,107.21822008501606,TIME,-0.0009741581161506474,Hybrid Python+Simulink Mode,True,150.0,20.0,4.0,0.8156521916389465,0.0,-0.00011334974260535091
