Step,Desired Gap (s),Actual Gap (s),Error (s),Ego Speed (km/h),Target Speed (km/h),Incremental Torque (Nm),Incremental Brake Torque (Nm),Vehicle Distance (m)
0,4.0,9.77545103558221,5.7754510355822095,48.22841613140776,68.04595940019566,668.50784838031,0.0,130.9595890045166
1,4.0,9.902008208205944,5.9020082082059435,47.71367669339872,68.04595975281043,680.5307797795647,0.0,131.23922729492188
2,4.0,9.993558852469889,5.993558852469889,47.379293718306556,68.04596081309826,689.2280909846395,0.0,131.52437782287598
3,4.0,10.024123284336243,6.024123284336243,47.337987310350584,68.04595760953323,692.1317120119431,0.0,131.811616897583
4,4.0,9.993906038834915,5.993906038834915,47.583771153802104,68.04595837411227,689.261073689317,0.0,132.09659385681152
5,4.0,9.922882857554573,5.922882857554573,48.02582008001613,68.04595379467101,682.5138714676845,0.0,132.37627410888672
6,4.0,9.827055328912719,5.827055328912719,48.593872848058815,68.04596000009333,673.4102562467083,0.0,132.64852142333984
7,4.0,9.716726928700579,5.716726928700579,49.24330045747916,68.04596398768591,662.9290582265551,0.0,132.91213989257812
8,4.0,9.59948985349861,5.599489853498611,49.94003986264994,68.04595646568738,651.791536082368,0.0,133.16636276245117
9,4.0,9.48029873702936,5.48029873702936,50.66075041293827,68.04594939267434,640.4683800177892,0.0,133.41084671020508
10,4.0,9.362475564373346,5.362475564373346,51.38849764239675,68.04595382416119,629.2751786154679,0.0,133.6454315185547
11,4.0,9.248284173000386,5.2482841730003855,52.11049382991884,68.04594566401914,618.4269964350366,0.0,133.87018203735352
12,4.0,9.139254709231814,5.139254709231814,52.81687973106674,68.04594974018492,608.0691973770223,0.0,134.08525466918945
13,4.0,9.036163265570208,5.036163265570208,53.501329676055036,68.04595486519855,598.2755102291698,0.0,134.29076385498047
14,4.0,8.939311862069568,4.939311862069568,54.16006749691756,68.04595781186347,589.074626896609,0.0,134.4871482849121
15,4.0,8.848677755693657,4.848677755693657,54.79109235058444,68.04595624866742,580.4643867908975,0.0,134.67464447021484
16,4.0,8.764062773785389,4.764062773785389,55.39363113077754,68.04595554702202,572.425963509612,0.0,134.8536834716797
17,4.0,8.685155152277776,4.685155152277776,55.967768828039624,68.04595592505633,564.9297394663887,0.0,135.02465438842773
18,4.0,8.611589972230863,4.611589972230863,56.51411033206916,68.04595444799773,557.941047361932,0.0,135.18787384033203
19,4.0,8.542989012274289,4.542989012274289,57.033604760725154,68.04595287317358,551.4239561660575,0.0,135.3437385559082
20,4.0,8.478973550130563,4.478973550130563,57.52740974320014,68.04595260186846,545.3424872624036,0.0,135.49260711669922
21,4.0,8.419179355045726,4.419179355045726,57.996781719512356,68.04596267432333,539.662038729344,0.0,135.63480758666992
22,4.0,8.363266271641391,4.3632662716413915,58.44300080445464,68.04595869484953,534.3502958059322,0.0,135.77066040039062
23,4.0,8.310915806152298,4.310915806152298,58.86735603160643,68.04595316844527,529.3770015844683,0.0,135.90045547485352
24,4.0,8.261844677117788,4.261844677117788,59.27106964781227,68.04595974720539,524.7152443261898,0.0,136.0245475769043
25,4.0,8.215786163448604,4.215786163448604,59.655315263825656,68.04595537048095,520.3396855276173,0.0,136.1431427001953
26,4.0,8.172501172352924,4.1725011723529235,60.02120227362908,68.0459620347017,516.2276113735278,0.0,136.25648498535156
27,4.0,8.1317865085806,4.1317865085806,60.36977257763011,68.04596021081511,512.359718315157,0.0,136.36502838134766
28,4.0,8.093437645423665,4.0934376454236645,60.701998933734494,68.04596583720803,508.7165763152482,0.0,136.46884536743164
29,4.0,8.057250659334061,4.057250659334061,61.01897463937835,68.04595873027732,505.2788126367358,0.0,136.5681037902832
30,4.0,8.02295716920508,4.02295716920508,61.32244413853939,68.04595718805408,502.02093107448263,0.0,136.66315078735352
