Step,Desired Gap (s),Actual Gap (s),Error (s),Ego Speed (km/h),Target Speed (km/h),Incremental Torque (Nm),Incremental Brake Torque (Nm)
0,4.0,5.553429793584121,1.5534297935841206,81.01804268863954,67.9594714070794,323.36273471493644,0.0
1,4.0,5.506512982418195,1.5065129824181946,81.58671638888768,67.9594714070794,314.34395982102154,0.0
2,4.0,5.462166771417097,1.4621667714170972,82.12128342842118,67.95947140707946,305.8194840530065,0.0
3,4.0,5.432015042735401,1.4320150427354008,82.44490341854548,67.95947140707943,300.014771449143,0.0
4,4.0,5.414551630622211,1.4145516306222108,82.57652150617378,67.95947140707943,296.63994220572494,0.0
5,4.0,5.406532666828381,1.4065326668283813,82.56400496162372,67.95947140707942,295.0733382630534,0.0
6,4.0,5.405387167025221,1.4053871670252214,82.44723122630708,67.95947140707943,294.8228753267066,0.0
7,4.0,5.409192990481162,1.409192990481162,82.25671456548964,67.95947140707949,295.5208950263801,0.0
8,4.0,5.416553000481805,1.4165530004818052,82.01469767721173,67.95947140707955,296.90020292525463,0.0
9,4.0,5.426440573073934,1.4264405730739336,81.73741500064025,67.95947140707949,298.7644433001705,0.0
10,4.0,5.438140695490572,1.4381406954905724,81.43684833857527,67.95947140707958,329.0207581735638,0.0
11,4.0,5.450280631127949,1.4502806311279492,81.13375107890876,67.95947140707965,331.31876976024586,0.0
12,4.0,5.4616454087869,1.4616454087869002,80.84602297144339,67.95947140707946,333.4693773129718,0.0
13,4.0,5.472390044027847,1.472390044027847,80.57113348167772,67.95947140707942,335.50219825724156,0.0
14,4.0,5.482616588197474,1.482616588197474,80.30730879438816,67.9594714070794,337.43670228572074,0.0
15,4.0,5.492393651355798,1.4923936513557976,80.05323239129252,67.9594714070794,339.2859473907997,0.0
16,4.0,5.50180146225454,1.50180146225454,79.807820929391,67.9594714070794,341.0653141763129,0.0
17,4.0,5.510858374208121,1.5108583742081212,79.57030701447367,67.9594714070794,342.7781919049946,0.0
18,4.0,5.519623984766315,1.5196239847663149,79.34000855290087,67.9594714070794,344.43603410704617,0.0
19,4.0,5.528112357000737,1.5281123570007367,79.11642500182954,67.9594714070794,346.04145771235915,0.0
