Step,Desired Gap (s),Actual Gap (s),Error (s),Ego Speed (km/h),Target Speed (km/h),Incremental Torque (Nm),Incremental Brake Torque (Nm)
0,4.0,4.250456016404726,0.25045601640472626,64.1782068015489,67.97546610389759,65.84528111014556,0.0
1,4.0,4.2032414769184765,0.2032414769184765,64.9389891858789,67.97506442829751,56.77654870254025,0.0
2,4.0,4.15983659528171,0.15983659528170957,65.64796275145473,67.97120437527614,48.44275984428788,0.0
3,4.0,4.134741264817355,0.1347412648173547,66.07107887017514,67.96547950659895,43.627525285153055,0.0
4,4.0,4.136011062111115,0.13601106211111524,66.07348840124489,67.95954001946127,43.87558340865294,0.0
5,4.0,4.157082921854569,0.15708292185456862,65.76381346688892,67.95476497353611,47.92719732829447,0.0
6,4.0,4.191738139143143,0.1917381391431432,65.25077014987718,67.95199993476744,54.59046474471282,0.0
7,4.0,4.23596263629235,0.23596263629235015,64.6068819775492,67.9514870829369,63.09668809270045,0.0
8,4.0,4.287049573934669,0.28704957393466923,63.88196517744368,67.95288021419128,72.92768911783524,0.0
9,4.0,4.343087971659095,0.3430879716590951,63.110795647219774,67.95549290930038,83.71749163509526,0.0
10,4.0,4.402655186760869,0.4026551867608692,62.31788919340353,67.95848698721566,95.1932761817759,0.0
11,4.0,4.464722670570431,0.46472267057043126,61.520638260224885,67.96111375390598,107.15762936434061,0.0
12,4.0,4.528454662084383,0.5284546620843829,60.73138959135489,67.96286012480414,119.4497151929688,0.0
13,4.0,4.593240365351774,0.5932403653517744,59.95880754469071,67.96349049044603,131.9518358298493,0.0
14,4.0,4.65851224259762,0.6585122425976202,59.20928727288849,67.96309515242693,144.55427743693832,0.0
15,4.0,4.723831576140527,0.723831576140527,58.48761493485824,67.9619587380085,157.17213134121104,0.0
16,4.0,4.788812586258204,0.7888125862582038,57.797131077524,67.96048960947674,169.73054384275113,0.0
17,4.0,4.853120877925317,0.853120877925317,57.13994394050007,67.9590828721142,182.1644649717176,0.0
18,4.0,4.916477537499736,0.9164775374997358,56.517295094082925,67.95804344597678,194.41951928547405,0.0
19,4.0,4.978669079809039,0.9786690798090394,55.92972925992834,67.95754443299084,206.4539814336983,0.0
