Step,Desired Gap (s),Actual Gap (s),Error (s),Ego Speed (km/h),Target Speed (km/h),Incremental Torque (Nm),Incremental Brake Torque (Nm),Vehicle Distance (m)
0,4.0,10.15586551132104,6.155865511321039,33.16498991352648,67.96029586565149,317.85730308340015,0.0,93.56088256835938
1,4.0,10.289733710105837,6.289733710105837,32.903264013297225,67.95998390980517,320.53466705909614,0.0,94.04606246948242
2,4.0,10.439975834200931,6.439975834200931,32.598525558495965,67.95962351800247,323.539509540998,0.0,94.5355052947998
3,4.0,10.55380441729956,6.55380441729956,32.4150174165666,67.95930464273377,325.81608120297057,0.0,95.02826499938965
4,4.0,10.672383457598139,6.672383457598139,32.221894721549205,67.95908979153658,328.18766200894214,0.0,95.5234489440918
5,4.0,10.749888961403233,6.749888961403233,32.155980877390455,67.95901344515444,329.737772085044,0.0,96.02033996582031
6,4.0,10.839580662648254,6.839580662648254,32.0553295159634,67.95905507805672,331.53160610994445,0.0,96.51842498779297
7,4.0,10.894861971860434,6.8948619718604345,32.05740238134041,67.95918677981767,332.63723229418804,0.0,97.01693725585938
8,4.0,10.967025201055307,6.967025201055307,32.01022305290381,67.95936703390325,334.0804968780855,0.0,97.51581192016602
9,4.0,11.008891125644487,7.008891125644487,32.051625721798985,67.95953333277569,334.9178153698691,0.0,98.01468276977539
10,4.0,11.070472396171514,7.070472396171514,32.035542327785436,67.9596650345364,336.14944078040963,0.0,98.51349639892578
11,4.0,11.104103063124738,7.104103063124738,32.10011735736762,67.95972742570561,336.82205411947416,0.0,99.01194763183594
12,4.0,11.159189530710837,7.159189530710837,32.1023443533817,67.95972062265157,337.9237834711961,0.0,99.51004028320312
13,4.0,11.187587556059714,7.1875875560597144,32.18093854120593,67.95966515090467,338.49174397817364,0.0,100.00751876831055
14,4.0,11.238520176451686,7.238520176451686,32.194258196966224,67.95957508204606,339.5103963860131,0.0,100.50439453125
15,4.0,11.263429314297294,7.263429314297294,32.28164186287675,67.95948489681916,340.00857914292527,0.0,101.00055313110352
16,4.0,11.311559170195586,7.311559170195586,32.30199828937486,67.95941570259586,340.97117626089107,0.0,101.49610137939453
17,4.0,11.333985321949172,7.3339853219491715,32.39515793229316,67.9593809891159,341.4196992959628,0.0,101.9906234741211
18,4.0,11.380051942555836,7.380051942555836,32.42030599664298,67.95937406969364,342.3410317080961,0.0,102.48465728759766
19,4.0,11.400608151339055,7.400608151339055,32.51748936870245,67.95940174738291,342.75215588376045,0.0,102.97754287719727
20,4.0,11.445001768547534,7.4450017685475345,32.546165306700615,67.95944326391687,343.6400282279301,0.0,103.46969985961914
21,4.0,11.464047726541265,7.464047726541265,32.64633850684193,67.95948478045086,344.02094738780465,0.0,103.96088409423828
22,4.0,11.507040550015892,7.507040550015892,32.677787924957414,67.95951949393081,344.8808038572972,0.0,104.45128631591797
23,4.0,11.524738616247514,7.5247386162475145,32.78032656653674,67.95954025219781,345.2347651819297,0.0,104.94019317626953
24,4.0,11.566458863057267,7.566458863057267,32.814099643498295,67.95954728798846,346.0691701181247,0.0,105.42859268188477
25,4.0,11.583009227666782,7.583009227666782,32.918608315836046,67.95953344914379,346.400177410315,0.0,105.91570663452148
26,4.0,11.623569197358355,7.623569197358355,32.95440372482804,67.9595128072452,347.2113768041465,0.0,106.40216445922852
27,4.0,11.639059441503429,7.639059441503429,33.06063186271724,67.95949204897839,347.52118168704794,0.0,106.88740539550781
28,4.0,11.67853786760076,7.67853786760076,33.098226375413056,67.95947117434292,348.3107502089946,0.0,107.37191390991211
29,4.0,11.693045491638246,7.693045491638246,33.205964183594475,67.95947117434301,348.6009026897443,0.0,107.8552360534668
30,4.0,11.731483755632846,7.731483755632846,33.24518274705301,67.95947117434302,349.3696679696363,0.0,108.33758926391602
31,4.0,11.745053491839355,7.745053491839355,33.35428181479736,67.9594711743428,349.64106269376646,0.0,108.81884002685547
32,4.0,11.782508971554352,7.782508971554352,33.394980738499065,67.9594711743428,350.3901722880664,0.0,109.299072265625
33,4.0,11.795187708613167,7.795187708613167,33.50530391206631,67.95947117434278,350.6437470292427,0.0,109.77815246582031
34,4.0,11.831720089696177,7.8317200896961765,33.54736132046157,67.9594712907111,351.3743946509029,0.0,110.25638580322266
35,4.0,11.843579795199396,7.843579795199396,33.65878410021567,67.9594712907111,351.61158876096727,0.0,110.73347091674805
36,4.0,11.879197816824716,7.879197816824716,33.702093930128754,67.95947129071111,352.3239491934737,0.0,111.20940017700195
37,4.0,11.890239637735123,7.890239637735123,33.81450764929365,67.9594712907111,352.54478561168185,0.0,111.68405532836914
38,4.0,11.925030763883594,7.925030763883594,33.858949078964024,67.9594712907111,353.24060813465127,0.0,112.1580581665039
39,4.0,11.93532131709933,7.93532131709933,33.972269631111985,67.9594712907111,353.44641919896594,0.0,112.63054275512695
40,4.0,11.969258490606359,7.969258490606359,34.01777888961987,67.9594712907111,354.12516266910654,0.0,113.10210800170898
41,4.0,11.978857480908536,7.978857480908536,34.13187534896008,67.95947140707946,354.3171424751501,0.0,113.57246398925781
42,4.0,12.012001609551163,8.012001609551163,34.178357493979114,67.9594714070794,354.98002504800263,0.0,114.04180145263672
43,4.0,12.020923707078927,8.020923707078927,34.29316443152411,67.9594714070794,355.1584669985579,0.0,114.5098648071289
44,4.0,12.053289416990447,8.053289416990447,34.34053049956449,67.95947140707945,355.8057811967883,0.0,114.97676467895508
45,4.0,12.061583979565064,8.061583979565064,34.455949909992235,67.95947140707943,355.97167244828063,0.0,115.44259262084961
46,4.0,12.09322865687405,8.09322865687405,34.50413095246162,67.95947140707948,356.60456599446036,0.0,115.90731811523438
47,4.0,12.100916638851087,8.100916638851087,34.6200890316308,67.95947140707962,356.75832563400115,0.0,116.37078094482422
48,4.0,12.131865503938085,8.131865503938085,34.66901076007406,67.95947140707948,357.3773029357411,0.0,116.83327102661133
49,4.0,12.138989453368003,8.138989453368003,34.78542942636321,67.95947140707949,357.51978192433944,0.0,117.29443359375
50,4.0,12.169268620485212,8.169268620485212,34.83501638211248,67.9594714070794,358.1253652666836,0.0,117.75463104248047
51,4.0,12.17586373650748,8.17586373650748,34.95181935279975,67.95947140707942,358.257267587129,0.0,118.21349716186523
52,4.0,12.205503771654739,8.205503771654739,35.0020183384683,67.9594714070794,358.85006829007415,0.0,118.67146301269531
53,4.0,12.211594186222058,8.211594186222058,35.11913649155166,67.9594714070794,358.97187658142053,0.0,119.12795639038086
54,4.0,12.24060502941409,8.24060502941409,35.169880277063946,67.95947140707946,359.55209344526116,0.0,119.58350372314453
55,4.0,12.246243389488562,8.246243389488562,35.28724599527798,67.95947140707943,359.66486064675064,0.0,120.03783416748047
56,4.0,12.274669761821238,8.274669761821238,35.33847066095054,67.95947140707943,360.23338809340413,0.0,120.49112701416016
57,4.0,12.279873400023995,8.279873400023995,35.456019812831435,67.95947140707942,360.3374608574593,0.0,120.94317626953125
58,4.0,12.307724881247841,8.307724881247841,35.507679214871615,67.95947140707943,360.8944904819362,0.0,121.39409637451172
59,4.0,12.3125124045015,8.3125124045015,35.62535262665023,67.95947140707949,360.9902409470094,0.0,121.84377670288086
60,4.0,12.339829811069368,8.339829811069368,35.67739517964943,67.95947140707955,361.5365890783667,0.0,122.29249572753906
61,4.0,12.344229877743684,8.344229877743684,35.79512938759592,67.95947140707949,361.6245904118531,0.0,122.73980712890625
62,4.0,12.371025126863367,8.371025126863367,35.84750505268984,67.95947140707958,362.1604953942467,0.0,123.18621826171875
63,4.0,12.37506136305837,8.37506136305837,35.96525578798892,67.95947140707965,362.24122011814677,0.0,123.63117980957031
64,4.0,12.401350227179183,8.401350227179183,36.01791779167269,67.95947140707946,362.766997400563,0.0,124.07522583007812
65,4.0,12.40506981750359,8.40506981750359,36.135632096967065,67.95947140707942,362.8413892070512,0.0,124.51806640625
66,4.0,12.430867414846372,8.430867414846372,36.18853641170853,67.9594714070794,363.3573411539068,0.0,124.9596939086914
67,4.0,12.434274619230326,8.434274619230326,36.30616969816917,67.9594714070794,363.4254852415859,0.0,125.4002456665039
68,4.0,12.459587078193545,8.459587078193545,36.359271944528956,67.9594714070794,363.93173442085026,0.0,125.83930969238281
69,4.0,12.462652479865197,8.462652479865197,36.476781284315,67.9594714070794,363.99304245428334,0.0,126.27706909179688
