Step,Desired Gap (s),Actual Gap (s),Error (s),Ego Speed (km/h),Target Speed (km/h),Incremental Torque (Nm),Incremental Brake Torque (Nm),Vehicle Distance (m)
0,4.0,11.407340657282273,7.407340657282273,34.56807826754899,67.95947117434292,800.0,0.0,109.53606796264648
1,4.0,11.484413827286899,7.4844138272868985,34.48170859688426,67.95947117434301,800.0,0.0,110.00061416625977
2,4.0,11.532010629070765,7.532010629070765,34.48453100501722,67.95947117434302,800.0,0.0,110.46554946899414
3,4.0,11.475226685759337,7.475226685759337,34.800199096321265,67.9594711743428,800.0,0.0,110.92782592773438
4,4.0,11.368358785562084,7.368358785562084,35.271812160861124,67.9594711743428,800.0,0.0,111.38405990600586
5,4.0,11.18362008348562,7.18362008348562,35.9985129154284,67.95947117434278,800.0,0.0,111.83158111572266
6,4.0,10.981170167273028,6.981170167273028,36.80531468208287,67.9594712907111,800.0,0.0,112.26817321777344
7,4.0,10.725735099847086,6.7257350998470855,37.8240523007736,67.9594712907111,800.0,0.0,112.69187927246094
8,4.0,10.476145438045366,6.476145438045366,38.865819442723364,67.95947129071111,800.0,0.0,113.10110473632812
9,4.0,10.235808076282998,6.235808076282998,39.9171181127997,67.9594712907111,800.0,0.0,113.49554443359375
10,4.0,10.012420703396794,6.012420703396794,40.94450110526824,67.9594712907111,800.0,0.0,113.87599182128906
11,4.0,9.801228932807819,5.801228932807819,41.9613357258924,67.9594712907111,800.0,0.0,114.24240493774414
12,4.0,9.601044268539686,5.601044268539686,42.968444284939004,67.9594712907111,800.0,0.0,114.5949821472168
13,4.0,9.410439941997256,5.4104399419972555,43.96833219675049,67.95947140707946,800.0,0.0,114.93370819091797
14,4.0,9.228391306966259,5.228391306966259,44.96239438230021,67.9594714070794,796.2971741617946,0.0,115.25849151611328
15,4.0,9.054095995155134,5.054095995155134,45.951638179617284,67.9594714070794,779.7391195397378,0.0,115.56959533691406
16,4.0,8.886903928552748,4.886903928552748,46.9367695430277,67.95947140707945,763.8558732125111,0.0,115.86737823486328
17,4.0,8.726471396971826,4.726471396971826,47.91677727112064,67.95947140707943,748.6147827123236,0.0,116.15121841430664
18,4.0,8.57284983088512,4.57284983088512,48.88895287273624,67.95947140707948,734.0207339340866,0.0,116.42156982421875
19,4.0,8.426731639209816,4.426731639209816,49.8464779039104,67.95947140707962,720.1395057249326,0.0,116.67858123779297
20,4.0,8.289232627832154,4.289232627832154,50.77923012100764,67.95947140707948,707.0770996440547,0.0,116.92245864868164
21,4.0,8.16067181965005,4.16067181965005,51.68112935081425,67.95947140707949,694.8638228667548,0.0,117.15353775024414
22,4.0,8.040949490429899,4.040949490429899,52.54871902402583,67.9594714070794,683.4902015908405,0.0,117.37266540527344
23,4.0,7.929632347203779,3.9296323472037793,53.38049038532116,67.95947140707942,672.9150729843591,0.0,117.57990646362305
24,4.0,7.826214607829178,3.8262146078291783,54.17602414124532,67.9594714070794,663.090387743772,0.0,117.77588653564453
25,4.0,7.730111710828351,3.730111710828351,54.935808683651004,67.9594714070794,653.9606125286934,0.0,117.96109390258789
