Step,Desired Gap (s),Actual Gap (s),Error (s),Ego Speed (km/h),Target Speed (km/h),Req Torque (Nm),Req Brake Torque (Nm)
0,4.0,7.382372264926322,3.382372264926322,74.53585638292114,77.52400624291143,630.0,0.0
1,4.0,7.521664034521048,3.5216640345210477,73.18050985235543,77.5240152422478,630.0,0.0
2,4.0,7.644295511444884,3.6442955114448843,72.03922180396515,77.52402135234745,630.0,0.0
3,4.0,7.7375463924271015,3.7375463924271015,71.20938361164485,77.52402176430117,630.0,0.0
4,4.0,7.7902341306947385,3.7902341306947385,70.76966215643917,77.52401752818783,630.0,0.0
5,4.0,7.8075472935001615,3.8075472935001615,70.65588198568943,77.52401026275454,630.0,0.0
6,4.0,7.800212445418603,3.8002124454186026,70.765293018349,77.52400595205177,630.0,0.0
7,4.0,7.7764831475841145,3.7764831475841145,71.02313444882428,77.52400287189243,630.0,0.0
8,4.0,7.741695525965016,3.7416955259650164,71.38223396649303,77.52398845529584,630.0,0.0
9,4.0,7.699301799698442,3.699301799698442,71.81285176258378,77.52399956532993,630.0,0.0
10,4.0,7.651618679966669,3.651618679966669,72.29527848383607,77.52399133704199,630.0,0.0
11,4.0,7.600211807228452,3.600211807228452,72.81620816345611,77.52400035421401,630.0,0.0
12,4.0,7.546159630797106,3.5461596307971064,73.36654778582557,77.52402246199277,630.0,0.0
13,4.0,7.4901671175271,3.4901671175270996,73.94026770872294,77.52403844872543,630.0,0.0
14,4.0,7.432839327802749,3.432839327802749,74.5320101027056,77.52402916678614,630.0,0.0
15,4.0,7.374830111496059,3.374830111496059,75.13588070388002,77.5240164275365,630.0,0.0
16,4.0,7.316679270702407,3.316679270702407,75.74662220862194,77.52402191525101,630.0,0.0
17,4.0,7.2587799331973395,3.2587799331973395,76.3604756371886,77.52400610535938,630.0,0.0
18,4.0,7.201356339775581,3.2013563397755807,76.97481829102206,77.52399165809109,630.0,0.0
19,4.0,7.1445681956108835,3.1445681956108835,77.58770105636783,77.52398860951838,627.3413550243712,0.0
