Step,Desired Gap (s),Actual Gap (s),Error (s),Ego Speed (km/h),Target Speed (km/h),Req Torque (Nm),Req Decel (m/s^2)
0,4.0,6.2310002068074395,2.2310002068074395,49.82336225153621,77.43784056731775,445.0845412580842,0.0
1,4.0,6.383311469615588,2.383311469615588,48.85520103042553,77.437844849957,475.4706381883098,0.0
2,4.0,6.514244687759098,2.5142446877590983,48.09599719627045,77.4378612590342,501.5918152079401,0.0
3,4.0,6.609933451031468,2.609933451031468,47.62353594818573,77.43785909511394,520.6817234807778,0.0
4,4.0,6.672818256837816,2.6728182568378163,47.39889611653167,77.437865958402,533.2272422391444,0.0
5,4.0,6.710666318374472,2.7106663183744724,47.355278575736946,77.43787537640611,540.7779305157072,0.0
6,4.0,6.730000505374143,2.730000505374143,47.44198072320022,77.43787543197648,544.6351008221415,0.0
7,4.0,6.736598680971926,2.736598680971926,47.61708499554738,77.43786581957708,545.9514368538992,0.0
8,4.0,6.7337294855062755,2.7337294855062755,47.8572383697678,77.43786837191121,545.379032358502,0.0
9,4.0,6.725008537439594,2.725008537439594,48.13767899921969,77.43788004880226,543.639203219199,0.0
10,4.0,6.712104963406339,2.7121049634063388,48.44686834910294,77.43787518133279,541.0649401995645,0.0
11,4.0,6.696932640409307,2.6969326404093072,48.77138660487257,77.43787201241163,538.0380617616568,0.0
12,4.0,6.680488178747154,2.6804881787471544,49.10440102658797,77.43785470652486,534.7573916600572,0.0
13,4.0,6.663637970689438,2.6636379706894378,49.4394736241263,77.43784270746042,531.3957751525428,0.0
14,4.0,6.64694466161145,2.6469446616114496,49.77270633040514,77.43785122318664,528.0654599914842,0.0
15,4.0,6.733764465388782,2.7337644653887816,49.94097709369502,77.43785179613556,545.3860108450618,0.0
16,4.0,6.830160881331462,2.8301608813314623,49.43994962813407,77.43784456660363,564.6170958256267,0.0
17,4.0,6.921959941153349,2.9219599411533492,48.98882845835565,77.43785332405814,582.9310082600931,0.0
18,4.0,6.9867363918843015,2.9867363918843015,48.73966798565904,77.43785082763343,595.8539101809182,0.0
19,4.0,7.01880244285176,3.0188024428517597,48.72172370795566,77.43786498307094,602.251087348926,0.0
20,4.0,7.027011934367645,3.0270119343676454,48.868510529378256,77.43786506655988,603.8888809063452,0.0
21,4.0,7.0186633916691585,3.0186633916691585,49.129034281667444,77.43786357759025,602.2233466379971,0.0
22,4.0,6.999149504874225,2.999149504874225,49.466518712119424,77.43785446372938,598.330326222408,0.0
23,4.0,6.972471836945682,2.972471836945682,49.85433210608983,77.43785050632903,593.0081314706636,0.0
24,4.0,7.105913635980997,3.105913635980997,49.869421739201364,77.43787084838475,619.6297703782088,0.0
25,4.0,7.220072081986799,3.2200720819867987,49.274700889763515,77.43787333911203,630.0,0.0
26,4.0,7.32518207325008,3.3251820732500796,48.76239274048318,77.43788496535113,630.0,0.0
27,4.0,7.398494429894313,3.3984944298943134,48.47460977364478,77.43787752166406,630.0,0.0
28,4.0,7.431033531603954,3.431033531603954,48.45750062218836,77.4378687881462,630.0,0.0
29,4.0,7.434423964629779,3.4344239646297794,48.62963826162419,77.43785750631822,630.0,0.0
30,4.0,7.418058120079458,3.4180581200794578,48.92955805616573,77.43785352944225,630.0,0.0
31,4.0,7.388637831107365,3.3886378311073653,49.31552169633778,77.43785324585352,630.0,0.0
