Step,Desired Gap (s),Actual Gap (s),Error (s),Ego Speed (km/h),Target Speed (km/h),Req Torque (Nm),Req Decel (m/s^2)
0,4.0,16.651530556463964,12.651530556463964,40.041778791160006,77.52399642624626,-0.0,0.0
1,4.0,16.615725973676813,12.615725973676813,40.240388025013274,77.52400240048966,630.0,0.0
2,4.0,16.700235468360642,12.700235468360642,40.14861808402031,77.52400500572719,630.0,0.0
3,4.0,16.810593352444982,12.810593352444982,39.99664242440165,77.52400944448357,630.0,0.0
4,4.0,16.872301271581275,12.872301271581275,39.96182545114265,77.52402035870057,630.0,0.0
5,4.0,16.85001616834394,12.850016168343942,40.125994385989685,77.52401360378273,630.0,0.0
6,4.0,16.759942725785688,12.759942725785688,40.45269152666731,77.52400723528976,630.0,0.0
7,4.0,16.618508673581076,12.618508673581076,40.90770545880183,77.52401308309925,630.0,0.0
8,4.0,16.43820551794061,12.43820551794061,41.466609467537914,77.52401906889719,630.0,0.0
9,4.0,16.234048621813596,12.234048621813596,42.09783506951532,77.5240113057607,630.0,0.0
10,4.0,16.02119249149635,12.02119249149635,42.76630393546981,77.52398925222228,630.0,0.0
11,4.0,15.809832267930718,11.809832267930718,43.446475743700454,77.52397227665234,630.0,0.0
12,4.0,15.603635440562877,11.603635440562877,44.128359985064854,77.52395952190241,630.0,0.0
13,4.0,15.40381413851957,11.40381413851957,44.80772430587564,77.523960175043,630.0,0.0
14,4.0,15.210550185815286,11.210550185815286,45.483112941058174,77.52397367965744,630.0,0.0
15,4.0,15.023615166840818,11.023615166840818,46.15427209206174,77.52400543950652,630.0,0.0
16,4.0,14.842605169103965,10.842605169103965,46.82134652037291,77.5240191677517,630.0,0.0
17,4.0,14.667216565539144,10.667216565539144,47.48448688771001,77.52400950616105,630.0,0.0
18,4.0,14.49710307985171,10.49710307985171,48.14386453128537,77.52401951556531,630.0,0.0
19,4.0,14.331984713323159,10.331984713323159,48.79959950596215,77.52401504565881,630.0,0.0
20,4.0,14.171588716973362,10.171588716973362,49.45179533538528,77.52401970594056,630.0,0.0
21,4.0,14.015675342455761,10.015675342455761,50.10056211181053,77.5240074706755,630.0,0.0
22,4.0,13.864053801874045,9.864053801874045,50.7459718025455,77.52398471055038,630.0,0.0
23,4.0,13.716470366802527,9.716470366802527,51.388135195780414,77.52400240335793,630.0,0.0
24,4.0,13.572857923769774,9.572857923769774,52.026593693306054,77.5240179090416,630.0,0.0
25,4.0,13.433464168891932,9.433464168891932,52.659860299044155,77.52401847901217,630.0,0.0
26,4.0,13.298360599271993,9.298360599271993,53.28681344658814,77.52401326792277,630.0,0.0
27,4.0,13.167551129856497,9.167551129856497,53.90670589203999,77.52401304674174,630.0,0.0
28,4.0,13.040948626044813,9.040948626044813,54.51911907457047,77.52399147281233,630.0,0.0
29,4.0,12.918414600270903,8.918414600270903,55.12378308384379,77.52396635988245,630.0,0.0
30,4.0,12.799827247579907,8.799827247579907,55.720531734997145,77.5239672155633,630.0,0.0
31,4.0,12.68501576038453,8.68501576038453,56.309328935104254,77.52398603538244,630.0,0.0
32,4.0,12.573834030284477,8.573834030284477,56.89017234573901,77.52400243207903,630.0,0.0
33,4.0,12.46609250362642,8.46609250362642,57.46307012338592,77.52402642588994,630.0,0.0
34,4.0,12.361658961389564,8.361658961389564,58.028098371026964,77.52403323930739,630.0,0.0
35,4.0,12.260406965285112,8.260406965285112,58.58531594486307,77.52402771171116,630.0,0.0
36,4.0,12.16219941828892,8.16219941828892,59.134828062052414,77.52402476824594,630.0,0.0
37,4.0,6.038606251462159,2.0386062514621592,119.09665587068328,77.43787739174981,0.0,2.0
38,4.0,6.005694307109914,2.0056943071099136,119.40040055972825,77.43788703016152,400.13601426842774,0.0
39,4.0,5.972923039650878,1.972923039650878,119.70232353020108,77.43787761731183,393.5981464103501,0.0
40,4.0,5.940282594289203,1.9402825942892026,120.00248441360414,77.43786256513575,387.0863775606959,0.0
41,4.0,5.90775788359359,1.9077578835935904,120.30084142368725,77.43786172773513,380.5976977769213,0.0
42,4.0,5.875356670277102,1.8753566702771023,120.59745409499227,77.43786320192994,374.13365572028187,0.0
43,4.0,5.843090862580111,1.8430908625801106,120.89228675402661,77.4378536978639,367.69662708473203,0.0
44,4.0,5.810941632964343,1.8109416329643429,121.18537691787819,77.43784363785308,361.2828557763864,0.0
45,4.0,5.7788962939871205,1.7788962939871205,121.47673059180548,77.43784295024305,354.8898106504305,0.0
46,4.0,5.746969216802609,1.7469692168026087,121.76637120816746,77.43785052373983,348.52035875212044,0.0
47,4.0,5.7151589575414325,1.7151589575414325,122.05430694181058,77.437856691927,342.17421202951573,0.0
48,4.0,5.683462538138253,1.6834625381382526,122.34051202310692,77.43785990221828,335.85077635858136,0.0
49,4.0,5.651876021740992,1.6518760217409918,122.62504732415228,77.43786618803684,329.5492663373278,0.0
50,4.0,5.621569818500996,1.621569818500996,122.88245692915595,77.43787385879014,323.50317879094865,0.0
51,4.0,5.5943664570432325,1.5943664570432325,123.07235935544732,77.4378766284731,318.0761081801249,0.0
52,4.0,5.569988561408609,1.5699885614086089,123.20007852255969,77.43788100993264,313.21271800101744,0.0
53,4.0,5.548164897331208,1.5481648973312083,123.27154071885846,77.43787383423116,308.85889701757606,0.0
54,4.0,5.528704154446853,1.528704154446853,123.29036068065733,77.43787865976633,304.97647881214715,0.0
55,4.0,5.511384960294972,1.511384960294972,123.26140279785191,77.43787190657459,301.5212995788469,0.0
56,4.0,5.49611577699036,1.4961157769903597,123.18661838025741,77.43786411547013,298.47509750957676,0.0
57,4.0,5.482662722506263,1.4826627225062632,123.07117960422941,77.43786181371672,295.7912131399995,0.0
58,4.0,5.470883092559896,1.4708830925598964,122.91878480157241,77.43783644216664,293.4411769656993,0.0
59,4.0,5.4606208913585625,1.4606208913585625,122.73300255795787,77.43783869744014,291.3938678260332,0.0
60,4.0,5.4516584579461105,1.4516584579461105,122.51924320252222,77.43784085751649,289.60586236024903,0.0
61,4.0,5.443970091413951,1.4439700914139513,122.27824524692396,77.43785129348761,288.07203323708325,0.0
62,4.0,5.437238368080008,1.437238368080008,122.01720881271241,77.43785958721335,286.72905443196163,0.0
63,4.0,5.431635573271419,1.4316355732714188,121.73315705964184,77.43786933026489,285.61129686764804,0.0
64,4.0,5.426843080161767,1.4268430801617669,121.4330064278075,77.43788179894268,284.65519449227247,0.0
65,4.0,5.423020561130721,1.4230205611307207,121.11377016121193,77.43787941240373,283.89260194557875,0.0
