Step,Desired Gap (s),Actual Gap (s),Error (s),Ego Speed (km/h),Target Speed (km/h),Incremental Torque (Nm),Incremental Brake Torque (Nm)
0,4.0,3.672057456763642,-0.32794254323635785,98.79385128765254,91.84293773265613,749.0,0.0
1,4.0,3.6553900219518893,-0.34460997804811067,99.14718586379702,91.84333897781701,745.4998386895319,0.0
2,4.0,3.635791084648435,-0.36420891535156485,99.57818837023787,91.84374354709708,644.4281280153144,0.0
3,4.0,3.6160827633206725,-0.38391723667932753,100.01086489656629,91.84407969645761,563.5793631784531,0.0
4,4.0,3.5966608799637343,-0.4033391200362657,100.43490018800449,91.84432164691692,498.9750277654234,0.0
5,4.0,3.5772404979099743,-0.42275950209002566,100.85670260108783,91.84441713759456,447.31833816480747,0.0
6,4.0,3.558127890019714,-0.4418721099802858,101.26950517426363,91.84438355785626,406.0707607072256,0.0
7,4.0,3.539494722238508,-0.46050527776149197,101.6666100982414,91.84425938787653,373.17842203000833,0.0
8,4.0,3.5221993756750085,-0.4778006243249915,102.02413609276167,91.8440720966727,347.1120573019185,0.0
9,4.0,3.508213887712048,-0.4917861122879521,102.28489899617958,91.8438714834375,326.8316665724266,0.0
10,4.0,3.497720751563487,-0.5022792484365128,102.44197844488417,91.84369504557655,311.20411616860997,0.0
11,4.0,3.4904290383130143,-0.5095709616869857,102.50550106102713,91.84356841003373,309.67285638601066,0.0
12,4.0,3.4858556915540464,-0.5141443084459536,102.48871233300616,91.84350959079563,308.7124535666274,0.0
13,4.0,3.483733051721998,-0.5162669482780018,102.40002996789663,91.84349985203653,308.26669920189727,0.0
14,4.0,3.4835362259193983,-0.5164637740806017,102.25734338105374,91.84355885587725,308.22536578335126,0.0
15,4.0,3.484787482890388,-0.515212517109612,102.07414641785793,91.84364449115004,308.4881297472591,0.0
16,4.0,3.4871525942092156,-0.5128474057907844,101.86102417262676,91.84373457231459,265.7069516870055,0.0
17,4.0,3.491139909254641,-0.5088600907453591,101.60434947030822,91.84382823450447,266.5442878465448,0.0
18,4.0,3.497360171846278,-0.5026398281537219,101.28740890237879,91.84388080699492,267.85054299078865,0.0
19,4.0,3.5052949010096,-0.49470509899040005,100.92757508212628,91.84393794284875,269.5168361150862,0.0
20,4.0,3.5144964653499575,-0.4855035346500425,100.53796854447086,91.8439576666373,271.4491646265613,0.0
21,4.0,3.5246746092301513,-0.4753253907698487,100.12854706109613,91.84393186371588,273.586574841402,0.0
22,4.0,3.5355804841339427,-0.46441951586605734,99.70690818325603,91.84390629544089,275.8768085711982,0.0
23,4.0,3.5470063176266544,-0.4529936823733456,99.27878236691211,91.84385581908685,278.27623360466765,0.0
24,4.0,3.558862770171898,-0.4411372298281022,98.84849088866005,91.84381229034142,280.76608863916874,0.0
25,4.0,3.5709703080367734,-0.4290296919632266,98.41927454225342,91.84377541484595,283.30867159079264,0.0
26,4.0,3.5832996339951735,-0.4167003660048265,97.99356982169964,91.84374752642091,285.8978300420567,0.0
27,4.0,3.5957372359794904,-0.40426276402050965,97.57265869686734,91.84372738208913,288.5097264587632,0.0
28,4.0,3.608308877990812,-0.3916911220091879,97.15783768391208,91.84373216118016,291.1497712811408,0.0
29,4.0,3.6208873407817843,-0.3791126592182157,96.75119916465113,91.84374635456074,293.79124846724494,0.0
30,4.0,3.63347264880908,-0.36652735119091995,96.35266736049029,91.84375289448572,296.434163152977,0.0
31,4.0,3.646078524447263,-0.3539214755527369,95.96190486763354,91.84377641420225,299.08139703699544,0.0
32,4.0,3.6586228651389656,-0.3413771348610344,95.57963155247789,91.84380205352086,301.71570858225294,0.0
33,4.0,3.6711166162727307,-0.32888338372726933,95.20730526838769,91.84382147548114,304.3393963203436,0.0
34,4.0,3.683521442252193,-0.3164785577478071,94.84496142448698,91.8438452728167,306.9444097760307,0.0
35,4.0,3.6957846356977604,-0.3042153643022396,94.49282511010082,91.84384687775785,309.51968039959985,0.0
36,4.0,3.7078998946262605,-0.29210010537373954,94.15179619239761,91.84383758455328,312.0638847745849,0.0
37,4.0,3.7198342240625104,-0.2801657759374896,93.82164947255751,91.84382267064915,314.57009395619735,0.0
38,4.0,3.7316193591771296,-0.2683806408228704,93.50141744227494,91.84381107019213,317.0449723302674,0.0
39,4.0,3.743269548335047,-0.2567304516649531,93.19110527862716,91.84381346777397,319.49151205343003,0.0
40,4.0,3.754741821008541,-0.24525817899145919,92.8915108166763,91.84380436792478,321.90068931486377,0.0
41,4.0,3.7660423481786083,-0.23395765182139172,92.60231182871995,91.84379657146253,324.27380002057794,0.0
42,4.0,3.777103149799549,-0.2228968502004509,92.32323347887767,91.84378120336562,326.5965683609755,0.0
43,4.0,3.7879829513406786,-0.21201704865932136,92.05398608212715,91.84378597893918,328.8813266846127,0.0
44,4.0,3.7987508332107796,-0.20124916678922045,91.793634854962,91.84378389750967,331.1425818773339,0.0
45,4.0,3.809320005913269,-0.19067999408673098,91.54187422443553,91.84377705312782,333.3621081448567,0.0
46,4.0,3.819730773083866,-0.1802692269161339,91.2989292677854,91.84378147826037,335.5483692506821,0.0
47,4.0,3.8299825358198656,-0.17001746418013441,91.0637593099846,91.84380203929796,337.70123942524197,0.0
48,4.0,3.840063913118963,-0.1599360868810371,90.83650945136237,91.84380119478524,339.8183286580524,0.0
49,4.0,3.8500006504346715,-0.14999934956532845,90.61786577196992,91.84380358434424,341.9050434943512,0.0
50,4.0,3.8596941888097738,-0.14030581119022623,90.40771887250668,91.84380100008768,343.9406865531227,0.0
51,4.0,3.8692488561212053,-0.13075114387879472,90.20545315097064,91.84381061622331,345.94716668852334,0.0
52,4.0,3.87861028917415,-0.12138971082584993,90.01079591271692,91.84381363697577,347.9130676296418,0.0
53,4.0,3.887816479963793,-0.11218352003620691,89.82277922671184,91.84380174624881,349.8463676954668,0.0
54,4.0,3.896903096859095,-0.10309690314090503,89.64189009634664,91.8437964218243,351.75455724348024,0.0
55,4.0,3.9057764131679575,-0.09422358683204246,89.46796412502302,91.84379737307869,353.6179536683414,0.0
56,4.0,3.9145306307135175,-0.08546936928648252,89.30014472558912,91.84377894431834,355.45633935290897,0.0
57,4.0,3.9231045132483375,-0.07689548675166247,89.13892523237945,91.84379186820826,357.2568546852212,0.0
58,4.0,3.931493277709949,-0.06850672229005106,88.9847292817995,91.84378512772203,359.0184952221596,0.0
59,4.0,3.939715411535416,-0.060284588464583955,88.83719191101507,91.84380309567835,360.7451433255077,0.0
60,4.0,3.9477599163082786,-0.052240083691721395,88.6960181464129,91.84380112381723,362.4344893278088,0.0
61,4.0,3.955636051402377,-0.044363948597622826,88.56094631217752,91.84379618900476,364.08847769756954,0.0
62,4.0,3.963333478437051,-0.03666652156294914,88.43180352722723,91.84380305187798,365.704937374851,0.0
63,4.0,3.970855918435051,-0.029144081564949076,88.30837039140482,91.84382309739784,367.284649774431,0.0
64,4.0,3.9782310949950332,-0.021768905004966754,88.1905256085189,91.84383815487718,368.83343685202726,0.0
65,4.0,3.985442544595327,-0.014557455404673014,88.07809274433066,91.84384924027266,370.3478412680889,0.0
66,4.0,3.9924951450745376,-0.007504854925462379,87.9709486794371,91.84384957694574,371.82888736872314,0.0
67,4.0,3.9993930540701212,-0.000606945929878755,87.8689767740584,91.843831529778,373.2774482577957,0.0
68,4.0,4.0061008805513545,0.006100880551354493,87.77205176102873,91.84381323006767,374.68609181885466,0.0
69,4.0,4.012698672972703,0.012698672972702774,87.68009320258524,91.84380778566046,419.34947966454524,0.0
70,4.0,4.018290837511138,0.018290837511138136,87.61087271624721,91.84379967644708,420.5238342176167,0.0
71,4.0,4.02188652986549,0.021886529865489557,87.58665272641792,91.84379786100973,421.2789296120305,0.0
72,4.0,4.02392103349702,0.023921033497019906,87.59561208918923,91.84380016036509,421.7061753746519,0.0
73,4.0,4.024822818577374,0.024822818577374228,87.62876683341912,91.84378886133497,421.8955502415263,0.0
74,4.0,4.024898351898477,0.02489835189847689,87.67949638265581,91.84377813576666,421.91141223895784,0.0
75,4.0,4.024350241128849,0.024350241128849426,87.743003797841,91.84377296406392,421.7963089773361,0.0
76,4.0,4.023360219779123,0.02336021977912317,87.81571888159885,91.84378675295918,421.58840449389356,0.0
77,4.0,4.021990505309285,0.021990505309284814,87.89503909287025,91.84379198579717,421.3007644552275,0.0
78,4.0,4.020389021442926,0.020389021442926314,87.97903063795944,91.84381144826534,420.96445284329224,0.0
79,4.0,4.018602796373579,0.01860279637357909,88.06623875760191,91.8438137501984,420.5893455787293,0.0
80,4.0,4.016661854872604,0.016661854872603854,88.15559342693331,91.84380837698274,420.1817478635245,0.0
81,4.0,4.014604634020717,0.0146046340207171,88.24627686774888,91.84382207213332,419.7497314846283,0.0
82,4.0,4.012476169810942,0.012476169810941684,88.33768740296019,91.8438046449008,419.3027540005754,0.0
83,4.0,4.010279901406902,0.010279901406901715,88.42937511442047,91.84379359109793,418.84153763572704,0.0
84,4.0,4.008066911516171,0.008066911516171338,88.52102209347893,91.8437886772877,418.37680975867363,0.0
85,4.0,4.005773096605453,0.005773096605452999,88.61237789717474,91.84379437394038,417.89510862742276,0.0
86,4.0,4.003502780222162,0.003502780222161661,88.70324570530009,91.84377982937302,417.41834218693157,0.0
87,4.0,4.00118432218164,0.0011843221816398852,88.79350710438709,91.84379330065964,416.93146599842197,0.0
88,4.0,3.9988630738663846,-0.001136926133615379,88.88303199145795,91.84379675148375,416.4440038522184,0.0
89,4.0,3.9965209451358037,-0.003479054864196307,88.97179247212243,91.84380556532088,415.95215681879637,0.0
90,4.0,3.9941772474936106,-0.005822752506389417,89.05973964110028,91.84380350930094,415.45998031393583,0.0
91,4.0,3.991835834621765,-0.008164165378234944,89.14686867394953,91.84379824593779,414.9682836108483,0.0
92,4.0,3.9894831938588666,-0.010516806141133372,89.23313943405364,91.84380268517934,414.4742290506396,0.0
93,4.0,3.9871110637292526,-0.012888936270747386,89.31852954348751,91.84379136933744,413.9760817234207,0.0
94,4.0,3.984743497778345,-0.015256502221654866,89.40303664312025,91.84379267530963,413.4788928737301,0.0
95,4.0,3.982381175871029,-0.017618824128970978,89.48665738418497,91.84379242010668,412.9828052731937,0.0
96,4.0,3.9800255873418227,-0.019974412658177343,89.56934253896985,91.84380396958804,412.4881316820604,0.0
97,4.0,3.977657316480871,-0.022342683519128936,89.65108570804789,91.84381102853759,411.99079480126056,0.0
98,4.0,3.975277303598538,-0.024722696401461963,89.73188549254503,91.84381337171206,411.4909920959706,0.0
99,4.0,3.97292460483342,-0.027075395166579863,89.81172908174159,91.84381678173283,410.99692535529584,0.0
100,4.0,3.970559085377857,-0.029440914622143044,89.89058790670633,91.84381573539021,410.5001662696276,0.0
101,4.0,3.9682207103631417,-0.03177928963685828,89.96845465934844,91.84381504104982,410.00910751653737,0.0
102,4.0,3.965872293573775,-0.03412770642622487,90.04531845900071,91.8437951077822,409.5159399907704,0.0
103,4.0,3.9635160739206414,-0.036483926079358575,90.12118956639749,91.84379485776623,409.0211338636123,0.0
104,4.0,3.9611873451105746,-0.038812654889425424,90.19603266675023,91.84379977283585,408.5321008134983,0.0
105,4.0,3.958849826442843,-0.04115017355715711,90.26983912132393,91.84380329979899,408.0412218932746,0.0
106,4.0,3.956560374115736,-0.0434396258842642,90.34261441812777,91.84380119597138,407.5604369045821,0.0
107,4.0,3.9542241528958315,-0.04577584710416849,90.4143484637922,91.84379084476411,407.06983044840223,0.0
108,4.0,3.9519173204511917,-0.048082679548808294,90.48502876476324,91.8437721042647,406.58539563502785,0.0
109,4.0,3.949641112687708,-0.05035888731229221,90.55465833093714,91.84376904716697,406.10739200469624,0.0
110,4.0,3.947338839924115,-0.05266116007588506,90.6232131776358,91.84377088189824,405.6239147243417,0.0
111,4.0,3.945106007697541,-0.05489399230245917,90.69067639178655,91.84378670729129,405.1550199567612,0.0
112,4.0,3.942824894221433,-0.057175105778567215,90.75707038743748,91.84380358555337,404.67598612677847,0.0
113,4.0,3.940572520177191,-0.05942747982280894,90.82239095589217,91.83999797768078,404.2029875774877,0.0
114,4.0,3.938391180226672,-0.061608819773327994,90.88661420735775,91.83448493397015,403.7449061878787,0.0
115,4.0,3.9362029567096686,-0.06379704329033142,90.9497419222664,91.82944550643091,403.285379249308,0.0
116,4.0,3.934007067327184,-0.06599293267281592,91.01176975714688,91.81877536988769,402.82424247898626,0.0
117,4.0,3.9318074109912704,-0.0681925890087296,91.07264084896723,91.80834226229977,402.3623146484444,0.0
118,4.0,3.929665066792198,-0.07033493320780204,91.13224396219977,91.80079935900531,401.9124223666392,0.0
119,4.0,3.927485944493532,-0.07251405550646783,91.19051018224145,91.79102721835727,401.4548066839194,0.0
120,4.0,3.925405086280507,-0.07459491371949278,91.24741230662607,91.78449098017134,401.01782645918416,0.0
121,4.0,3.92331063226875,-0.0766893677312499,91.30289027238271,91.78100545391113,400.57799111671517,0.0
122,4.0,3.9212599293158417,-0.07874007068415834,91.3569634605011,91.7746202714899,400.1473434966044,0.0
123,4.0,3.9192545150706994,-0.08074548492930056,91.4095904043533,91.77208940611348,399.72620650512454,0.0
124,4.0,3.9172705316309595,-0.08272946836904049,91.46080612156057,91.77156755887887,399.3095699827791,0.0
125,4.0,3.9153302657009372,-0.08466973429906277,91.51059334281531,91.766326226785,398.9021141374744,0.0
126,4.0,3.9134348526294973,-0.08656514737050269,91.55894671500083,91.76362688093585,398.504077392472,0.0
127,4.0,3.9115829145540144,-0.08841708544598559,91.60590529122258,91.76205601074263,398.1151703966206,0.0
128,4.0,3.9096761877944655,-0.09032381220553454,91.65147403267358,91.75464789127889,397.7147577771153,0.0
129,4.0,3.907848798904558,-0.09215120109544195,91.69567365060442,91.74965656304535,397.33100611023474,0.0
130,4.0,3.9060214526528734,-0.09397854734712663,91.73850025976111,91.75029933592762,396.94726339738094,0.0
131,4.0,3.9042337851168,-0.09576621488319992,91.77998483187787,91.7405174095697,396.57185321480557,0.0
132,4.0,3.9024864699212554,-0.09751353007874464,91.82012336361744,91.73363164298087,396.2049170237412,0.0
133,4.0,3.900746191969217,-0.09925380803078321,91.85893826853676,91.72656087092955,395.8394586538131,0.0
134,4.0,3.899075673712384,-0.10092432628761605,91.89642354432478,91.71696830605333,395.4886498198782,0.0
135,4.0,3.897403643029825,-0.10259635697017488,91.93263088834888,91.71165546170283,395.13752337654086,0.0
136,4.0,3.8957118832758386,-0.10428811672416138,91.96755531828539,91.70815342411038,394.7822538282037,0.0
137,4.0,3.894092927479024,-0.10590707252097609,92.00122533003035,91.7070510967636,394.44227311087263,0.0
138,4.0,3.892471501172418,-0.1075284988275822,92.03363492283088,91.70920321131867,394.10177358648536,0.0
139,4.0,3.8908664628400738,-0.10913353715992624,92.0647881367672,91.71279438210611,393.76471553669313,0.0
140,4.0,3.8893132489412916,-0.1106867510587084,92.0947240113993,91.71869939233017,393.4385406179489,0.0
141,4.0,3.8877944745228827,-0.11220552547711726,92.12343149131593,91.72462945117348,393.11959799008304,0.0
142,4.0,3.8863284251065173,-0.11367157489348267,92.1509112002309,91.7293206681255,392.8117276126463,0.0
143,4.0,3.884873941063594,-0.11512605893640604,92.1772287447435,91.73208502524635,392.50628596363237,0.0
144,4.0,3.8834496441401227,-0.11655035585987727,92.20239486927301,91.73284206711524,392.2071836097034,0.0
145,4.0,3.8820755326042273,-0.11792446739577267,92.22638984499167,91.73177944410271,391.9186201871654,0.0
146,4.0,3.8807300307206694,-0.11926996927933065,92.24928291753301,91.72944556793917,391.63606479161825,0.0
147,4.0,3.879450356139802,-0.12054964386019806,92.27107309074214,91.72646245621125,391.3673331296361,0.0
148,4.0,3.8781603642101055,-0.12183963578989454,92.29177402264958,91.72345078852786,391.09643482439986,0.0
149,4.0,3.8769157432988486,-0.12308425670115142,92.31140663900348,91.72093412976113,390.83506443303594,0.0
150,4.0,3.8757146286165685,-0.12428537138343154,92.33000478710562,91.71929882413662,390.5828303497571,0.0
151,4.0,3.8745374998836772,-0.12546250011632276,92.34760503383164,91.71863049365815,390.3356333158499,0.0
152,4.0,3.873420391061855,-0.1265796089381448,92.36423501760521,91.7189054093474,390.1010404632673,0.0
153,4.0,3.8723255075711718,-0.12767449242882822,92.37988511160191,91.71994820815263,389.87111493022377,0.0
154,4.0,3.871268787334646,-0.12873121266535392,92.39458532618616,91.72136669380298,389.6492036805534,0.0
155,4.0,3.870210551485113,-0.12978944851488716,92.4083894405708,91.72289528585297,389.42697415215144,0.0
156,4.0,3.8691520756823836,-0.13084792431761638,92.42131063106682,91.72424236495861,389.2046942335783,0.0
157,4.0,3.8681682823943437,-0.13183171760565626,92.43335780537242,91.72519884762174,388.9980976430899,0.0
158,4.0,3.867201860591161,-0.1327981394088389,92.4445572803293,91.72569727211875,388.7951490644216,0.0
159,4.0,3.866289309383629,-0.13371069061637098,92.4549145733556,91.72568239876206,388.60351331083984,0.0
160,4.0,3.8654112432179324,-0.1345887567820676,92.46443406931577,91.7252807069167,388.41911941604354,0.0
161,4.0,3.8645302506273245,-0.13546974937267553,92.47315018348534,91.7246542006516,388.23411097201586,0.0
162,4.0,3.863719569460118,-0.13628043053988215,92.4811256420091,91.72391139350198,388.06386792690245,0.0
163,4.0,3.8629238071771397,-0.13707619282286032,92.48833841716174,91.72317553597328,387.89675784747703,0.0
164,4.0,3.8621764507125214,-0.13782354928747864,92.49485002521966,91.722632784015,387.7398129899072,0.0
165,4.0,3.861460310595705,-0.13853968940429517,92.50065904240469,91.72248765826971,387.58942356537574,0.0
166,4.0,3.860697705747312,-0.1393022942526878,92.50580856381613,91.72341722058698,387.4292765472133,0.0
167,4.0,3.85998364375907,-0.14001635624092978,92.51030546944449,91.7241033914934,387.2793235296825,0.0
168,4.0,3.8592812996118866,-0.1407187003881134,92.5141637391856,91.72420595662449,387.1318312587739,0.0
169,4.0,3.8586090408410536,-0.1413909591589464,92.51739103101077,91.72372892111693,386.99065691689896,0.0
170,4.0,3.8579800251034433,-0.1420199748965567,92.52002736092399,91.72319381962714,386.8585636120008,0.0
171,4.0,3.8573378105944736,-0.14266218940552644,92.5220519250036,91.72296929100345,386.72369856511716,0.0
172,4.0,3.8567619732582243,-0.14323802674177566,92.52351382144208,91.72290816988618,386.6027727245048,0.0
173,4.0,3.856192042970621,-0.1438079570293791,92.52439638629444,91.7229558964496,386.4830873641081,0.0
174,4.0,3.8556436394027473,-0.14435636059725265,92.52474125695049,91.72309124601927,386.36792261485465,0.0
175,4.0,3.8551393613728604,-0.1448606386271396,92.52456509027839,91.7232479738196,386.2620242285784,0.0
176,4.0,3.8546176085077897,-0.14538239149221033,92.5238820287425,91.72341372143158,386.15245612691353,0.0
177,4.0,3.854175020378002,-0.14582497962199792,92.52271648027221,91.72353675311932,386.05951261965816,0.0
178,4.0,3.8537165776121336,-0.1462834223878664,92.52105823880123,91.72362617611896,385.96323963882577,0.0
179,4.0,3.853257517390105,-0.14674248260989486,92.51895823961317,91.72363900551397,385.8668369921998,0.0
