Step,Desired Gap (s),Actual Gap (s),Error (s),Ego Speed (km/h),Target Speed (km/h),Req Torque (Nm),Req Brake Torque (Nm)
0,4.0,5.508361371517275,1.5083613715172746,60.5172563254326,77.6368427582452,-0.0,0.0
1,4.0,5.478592959625474,1.478592959625474,61.0001658278649,77.7317384108037,294.9792954452821,0.0
2,4.0,5.494896993206262,1.494896993206262,60.97176021394815,77.76692212346445,298.23195014464926,0.0
3,4.0,5.555736800863261,1.5557368008632606,60.45833295683785,77.7464611957511,310.36949177222044,0.0
4,4.0,5.652087121524695,1.652087121524695,59.58563686533273,77.68528337640895,329.59138074417666,0.0
5,4.0,5.772202426086629,1.7722024260866291,58.50852975396142,77.6036192918297,353.5543840042825,0.0
6,4.0,5.911766645667438,1.9117666456674378,57.29526117839797,77.52166757211234,381.39744581065383,0.0
7,4.0,6.06953933938919,2.0695393393891903,55.979436308148735,77.45589892175319,412.87309820814346,0.0
8,4.0,6.245408081826313,2.245408081826313,54.582204706043015,77.41639883332955,447.95891232434946,0.0
9,4.0,6.43651388311788,2.43651388311788,53.14598097233475,77.40614044151454,486.08451968201706,0.0
10,4.0,6.641742845433877,2.6417428454338774,51.693316160921896,77.42159183956946,527.0276976640586,0.0
11,4.0,6.8609891546165045,2.8609891546165045,50.23558717545968,77.45470205489204,570.7673363459926,0.0
12,4.0,7.094433803908888,3.0944338039088883,48.78089216550166,77.495467877589,617.3395438798232,0.0
13,4.0,7.3424204696533275,3.3424204696533275,47.334982123574044,77.53421826600766,630.0,0.0
14,4.0,7.605498179949698,3.6054981799496977,45.9018627778812,77.56353179339348,630.0,0.0
15,4.0,7.884371858260183,3.8843718582601827,44.484309120134746,77.57930078534702,630.0,0.0
16,4.0,8.179918827975994,4.179918827975994,43.084176200085395,77.58091661411028,630.0,0.0
17,4.0,8.49321204451356,4.493212044513561,41.702652250698,77.57075365270629,630.0,0.0
18,4.0,8.825444131232361,4.825444131232361,40.340463830675304,77.55311402509848,630.0,0.0
19,4.0,9.178003217125623,5.178003217125623,38.99801869454277,77.5329955003076,630.0,0.0
20,4.0,9.552323694937831,5.552323694937831,37.675491352983634,77.51492865197758,630.0,0.0
21,4.0,9.950219956432678,5.950219956432678,36.3729187962818,77.50219771054806,630.0,0.0
22,4.0,10.373627564567633,6.373627564567633,35.09023783685946,77.49631075387444,630.0,0.0
23,4.0,10.823795188410633,6.823795188410633,33.83016972079629,77.49714389026151,630.0,0.0
24,4.0,11.29022925949356,7.290229259493559,32.62909929724528,77.50323060283137,630.0,0.0
25,4.0,11.774435036587136,7.7744350365871355,31.480844021835193,77.51234681793751,630.0,0.0
26,4.0,12.276406736680704,8.276406736680704,30.383685725918813,77.52205529532537,630.0,0.0
27,4.0,12.819834217521938,8.819834217521938,29.282139606757834,77.53029037736933,630.0,0.0
28,4.0,13.405968170702257,9.405968170702257,28.184333756344213,77.53568176415595,630.0,0.0
29,4.0,14.037407305904134,10.037407305904134,27.094706338752914,77.5376923548403,630.0,0.0
30,4.0,14.71745697730481,10.71745697730481,26.016348623786985,77.53655633535458,630.0,0.0
31,4.0,17.18821854059045,13.188218540590452,22.43187382534384,77.5331000253569,630.0,0.0
32,4.0,21.71491965432262,17.71491965432262,17.88934990699394,77.52849368281478,630.0,0.0
33,4.0,29.13460178214659,25.13460178214659,13.440689167987047,77.52385297492393,-0.0,0.0
34,4.0,43.77687629341888,39.77687629341888,9.021536406125682,77.52013489889097,-0.0,0.0
35,4.0,42.1447008149437,38.1447008149437,9.451946413963014,77.51791776759417,-0.0,0.0
36,4.0,41.17825611128135,37.17825611128135,9.756073100729601,77.5173531180634,-0.0,0.0
37,4.0,41.20161406956538,37.20161406956538,9.832478467234232,77.51822077819291,-0.0,0.0
38,4.0,41.57455963489547,37.57455963489547,9.82540391065141,77.52010047009925,-0.0,0.0
39,4.0,42.33361419451977,38.33361419451977,9.729006569758791,77.52240021772982,-0.0,0.0
40,4.0,43.14401966487082,39.14401966487082,9.624661642842463,77.52458973601313,-0.0,0.0
41,4.0,44.181016936908115,40.181016936908115,9.475544607204796,77.52623533850274,-0.0,0.0
42,4.0,45.16845230719407,41.16845230719407,9.343688750866884,77.52712357346049,-0.0,0.0
43,4.0,46.34044050189924,42.34044050189924,9.180971871518606,77.52720622115133,-0.0,0.0
44,4.0,47.41746193776282,43.41746193776282,9.044561694909294,77.52662102886212,-0.0,0.0
45,4.0,48.68811976508595,44.68811976508595,8.878923977747665,77.52562947633419,-0.0,0.0
46,4.0,49.83267523674193,45.83267523674193,8.743957657822545,77.52447969785688,-0.0,0.0
47,4.0,51.192684034492714,47.192684034492714,8.578936578743184,77.52346757058822,-0.0,0.0
48,4.0,52.40061864190989,48.40061864190989,8.44703112339315,77.52275141599556,-0.0,0.0
49,4.0,53.845695780849155,49.845695780849155,8.28456076257272,77.52243467821069,-0.0,0.0
50,4.0,55.11628101201178,51.11628101201178,8.156428370783113,77.52248974511173,-0.0,0.0
51,4.0,56.64330855719285,52.64330855719285,7.9978371527601135,77.5228408796734,-0.0,0.0
52,4.0,59.13766712122561,55.13766712122561,7.719425415949317,77.52335046215248,-0.0,0.0
53,4.0,61.13984951774103,57.13984951774103,7.523815799525071,77.52388753084492,-0.0,0.0
54,4.0,62.164412241553485,58.164412241553485,7.4561312220502245,77.52434889418845,-0.0,0.0
55,4.0,62.48078250853576,58.48078250853576,7.474425408155259,77.52465872079057,-0.0,0.0
56,4.0,61.59758473914924,57.59758473914924,7.638359862368834,77.52478261318245,-0.0,0.0
57,4.0,59.955838443232054,55.955838443232054,7.9056484933996884,77.52472066677348,-0.0,0.0
58,4.0,57.30495365826088,53.30495365826088,8.331821683407199,77.5245346693648,-0.0,0.0
59,4.0,54.186511599232325,50.186511599232325,8.874841963374493,77.52426618284069,-0.0,0.0
60,4.0,50.51538263932522,46.51538263932522,9.587267036502846,77.5240045756642,-0.0,0.0
61,4.0,46.7517399865428,42.7517399865428,10.431116586430027,77.52379115587745,-0.0,0.0
62,4.0,42.915419343482945,38.915419343482945,11.440974057402496,77.52366713626235,-0.0,0.0
63,4.0,39.41619547401711,35.41619547401711,12.539580507797456,77.52363264402429,-0.0,0.0
64,4.0,36.50541071569462,32.50541071569462,13.627442850287304,77.52368089509368,-0.0,0.0
65,4.0,34.069922775473366,30.069922775473366,14.694338471457613,77.52378418127776,-0.0,0.0
