Time(s),Ego_Speed(km/h),Target_Speed(km/h),Actual_Distance(m),Desired_Distance(m),Lane_Offset
0.0799398422241211,2.1994558359867358,0.0008039088938697412,20.019406437926175,15,0.08476334065198898
0.24402117729187012,0.26718039202043203,0.0005371187070374127,20.020235598139646,15,0.08477859944105148
0.32398247718811035,0.7420044354268583,0.8636049620037417,20.021054327540277,15,0.08476334065198898
0.4008665084838867,0.8469486898340344,5.179550548561098,20.091626763813142,15,0.08476334065198898
0.4772641658782959,0.7249891618384688,7.9366247642990295,20.23815506826127,15,0.08479385823011398
0.572371244430542,0.4449908101647955,10.60508197832343,20.48335518327104,15,0.08477860689163208
0.6689810752868652,2.707087781697321,12.77640164866786,20.764264681965052,15,0.08442763984203339
0.7382678985595703,4.015036839726003,14.148753004112384,20.956784540770613,15,0.08371046930551529
0.8178648948669434,5.706239986302303,15.64652274426402,21.177307425644337,15,0.08250501751899719
0.9164860248565674,7.5594028034171705,17.226474783176467,21.41277268972385,15,0.0805518701672554
1.048234224319458,10.643328767392989,19.597037393193848,21.790711026240132,15,0.07556220889091492
1.1251404285430908,12.242900759025261,19.939074001409455,21.96653793297963,15,0.07197635620832443
1.1941301822662354,13.66491147905797,20.613464598848918,22.10636861413015,15,0.06814637035131454
1.2711811065673828,15.20467139283137,21.775971755184088,22.250071519287022,15,0.06323299556970596
1.3472175598144531,16.761471289112528,22.965227668235737,22.386526312259708,15,0.057465117424726486
1.4259514808654785,18.35933295582602,24.18627022656628,22.516646834731997,15.199629419903344,0.05072066932916641
1.5053215026855469,19.954050425261823,25.869750344981075,22.646327582391162,16.0855835695899,0.04318276047706604
1.5775747299194336,20.42230938179023,27.32587765313143,22.784239732530942,16.345727434327905,0.03555329516530037
1.6562888622283936,21.68008975548383,29.239343636101285,22.942295054601914,17.044494308602125,0.02711510844528675
1.7389678955078125,23.13188613433798,30.742018198070838,23.112049306341238,17.851047852409987,0.018142860382795334
1.8150033950805664,24.76964805123143,32.13925510088373,23.271211230692337,18.76091558401746,0.009185870178043842
1.8910698890686035,26.16686202327638,33.21378371673532,23.42424040418815,19.537145568486878,0.00021362517145462334
1.9691684246063232,28.433504310997556,34.490200936986504,23.56306015493494,20.79639128388753,-0.008941727690398693
2.044189453125,30.331588355702454,35.76157756312641,23.680212827801824,21.850882419834697,-0.017486730590462685
2.1241488456726074,32.08261130633013,36.76950491400137,23.786071049043734,22.82367294796118,-0.025467146188020706
2.1999990940093994,33.79797397545275,37.408482518757424,23.874975790280427,23.77665220858486,-0.03222685307264328
2.2800793647766113,35.41476611543505,37.34973292936235,23.93190659682999,24.674870064130584,-0.036789268255233765
2.355254650115967,36.96025001015184,36.47214243017136,23.9428287233024,25.53347222786213,-0.039093371480703354
2.4337189197540283,38.361798443384586,35.059871522254326,23.896516216118073,26.31211024632477,-0.039001818746328354
2.508897304534912,39.4285653648607,33.43548995700458,23.79338517887949,26.90475853603372,-0.03652987256646156
2.5840659141540527,40.04032579126044,31.866320486706204,23.64055929649929,27.244625439589136,-0.03190641477704048
2.661412477493286,40.08204546715435,30.333366001697986,23.441457919058056,27.267803037307974,-0.025192489847540855
2.737576723098755,39.62153315204993,29.062986602271693,23.217703774720164,27.01196286224996,-0.01712052710354328
2.8112096786499023,38.80711000183044,28.330512866726878,22.994162114182917,26.559505556572464,-0.008316103368997574
2.891505002975464,37.68501819496917,27.985392878428378,22.769851969327007,25.936121219427314,0.0009460505098104477
2.9707703590393066,36.43322930452498,28.260522794070845,22.57278581602833,25.24068294695832,0.00917060486972332
3.0453572273254395,35.13079776251335,29.028153891603214,22.421167854276664,24.517109868062974,0.015289421193301678
3.1190690994262695,33.80060599439053,29.999599574856088,22.315515128903737,23.77811444132807,0.01905837468802929
3.1971945762634277,32.54219057530525,31.459718740055507,22.262138130580187,23.07899476405847,0.020218050107359886
3.2770190238952637,31.199325300563178,32.85906968245387,22.266321329470944,22.332958500312877,0.018829483538866043
3.429190158843994,28.925362924826597,35.175890668227545,22.426073976461446,21.06964606934811,0.010679109022021294
3.5083494186401367,27.922482564369055,36.00374947657476,22.582297539356016,20.512490313538365,0.0047554196789860725
3.585418224334717,26.969937143251524,35.936966096151565,22.761246601194355,19.983298412917513,-0.0009229357820004225
3.664325475692749,26.09062066103333,35.3123561112235,22.95768580878353,19.49478925612963,-0.006638980936259031
3.7447383403778076,25.498011771007622,33.838470610753454,23.14393118244121,19.165562095004233,-0.01210973970592022
3.8218774795532227,24.96849575378895,32.18420849486572,23.305053749083076,18.87138652988275,-0.01705797016620636
3.899953603744507,24.699769640878284,30.449101971179473,23.438729912071462,18.72209424493238,-0.02195604331791401
3.9760613441467285,24.780138685029197,28.850330533964712,23.53422764568454,18.766743713905107,-0.02659471705555916
4.0522332191467285,25.28478034912651,27.404562356137117,23.590772879051173,19.047100193959174,-0.031035026535391808
4.133867025375366,25.90460416563993,26.09361965579731,23.607579897538987,19.39144675868885,-0.03507860749959946
4.210318326950073,26.46542971860936,25.341020031789913,23.591070445060485,19.703016510338536,-0.038206662982702255
4.287670135498047,27.4940589373647,25.41950795388581,23.55166721896679,20.274477187424832,-0.04052600637078285
4.366112470626831,28.514688694836785,25.97499544315706,23.493640680496636,20.84149371935377,-0.042280763387680054
4.44696831703186,29.56434208130806,26.772478849113554,23.428564299273013,21.42463448961559,-0.043165773153305054
4.5291218757629395,30.538748081887594,27.917243447252353,23.362839962737475,21.96597115660422,-0.04301318898797035
4.6032586097717285,31.555121267983424,28.998974143631706,23.303420205696,22.530622926657458,-0.041472043842077255
