Step,Desired Gap (s),Actual Gap (s),Error (s),Ego Speed (km/h),Target Speed (km/h),Incremental Torque (Nm),Incremental Brake Torque (Nm)
0,4.0,6.428644219153915,2.428644219153915,54.975750343957934,67.95944301258872,614.1799946427345,0.0
1,4.0,6.383142497766915,2.383142497766915,55.46713096726806,67.95944588088,532.8838457416259,0.0
2,4.0,6.3382001040892915,2.3382001040892915,55.95656499841168,67.95944841478428,467.95793161788936,0.0
3,4.0,6.301800602066898,2.3018006020668977,56.37287657136965,67.95945913007328,417.46701636186424,0.0
4,4.0,6.276423629205863,2.276423629205863,56.69169914147942,67.95946750425655,378.93733119888867,0.0
5,4.0,6.262433264141865,2.2624332641418654,56.907276364585584,67.95947496261846,350.0341842576465,0.0
6,4.0,6.259336743664266,2.2593367436642664,57.02345253440857,67.95948249654553,349.38391495735067,0.0
7,4.0,6.265132711980901,2.2651327119809013,57.05808827923482,67.95947895992614,350.601068303844,0.0
8,4.0,6.277034075451321,2.277034075451321,57.037118633070314,67.95948618990953,353.10035463263216,0.0
9,4.0,6.292981053123302,2.2929810531233024,56.97996127017458,67.95948662523455,356.44921994374823,0.0
10,4.0,6.311457598327102,2.3114575983271024,56.90073015946762,67.95947740063792,360.32929443654626,0.0
11,4.0,6.331385881505198,2.3313858815051978,56.8096040609579,67.95946813822204,364.51423390394626,0.0
12,4.0,6.351983283595128,2.3519832835951284,56.71387386932408,67.9594668386927,368.8396883428317,0.0
13,4.0,6.372652648483879,2.3726526484838786,56.6187071487071,67.9594618393909,373.1802549694693,0.0
14,4.0,6.393027405178481,2.393027405178481,56.527708946018286,67.95945997985825,377.4589538753358,0.0
15,4.0,6.412795017986822,2.412795017986822,56.443323938703536,67.9594641582737,381.6101525650874,0.0
16,4.0,6.43171349908316,2.43171349908316,56.367112880692126,67.95946724640359,385.5830335953184,0.0
17,4.0,6.449702124811581,2.449702124811581,56.29999988921372,67.95947262653976,389.36064499828683,0.0
18,4.0,6.466677125029249,2.466677125029249,56.24245787503322,67.95946923268046,392.9253950439971,0.0
