Step,Desired Gap (s),Actual Gap (s),Error (s),Ego Speed (km/h),Target Speed (km/h),Incremental Torque (Nm),Incremental Brake Torque (Nm),Vehicle Distance (m)
0,4.0,9.518711313617187,5.518711313617187,59.69085615173291,68.04595382416119,748.9775747936328,0.0,157.82778549194336
1,4.0,9.61014689194737,5.61014689194737,59.16803458262525,68.04594566401914,757.6639547350001,0.0,157.9481954574585
2,4.0,9.664592172525685,5.664592172525685,58.88153940445875,68.04594974018492,762.83625638994,0.0,158.07390689849854
3,4.0,9.667912405635983,5.667912405635983,58.90857307428748,68.04595486519855,763.1516785354183,0.0,158.20081233978271
4,4.0,9.625033216857945,5.625033216857945,59.21733127313219,68.04595781186347,759.0781556015047,0.0,158.3246612548828
5,4.0,9.55264856623024,5.552648566230239,59.71041487284001,68.04595624866742,752.2016137918727,0.0,158.44239139556885
6,4.0,9.462173965520101,5.462173965520101,60.323097901635435,68.04595554702202,743.6065267244096,0.0,158.5521240234375
7,4.0,9.361350687394697,5.3613506873946974,61.01153266376781,68.04595592505633,734.0283153024963,0.0,158.65287590026855
8,4.0,9.255557603553035,5.255557603553035,61.744239058944224,68.04595444799773,723.9779723375383,0.0,158.74371147155762
9,4.0,9.14818677966731,5.148186779667309,62.5006342417406,68.04595287317358,713.7777440683944,0.0,158.82429885864258
10,4.0,9.041268842521053,5.041268842521053,63.26769699382794,68.04595260186846,703.6205400394999,0.0,158.89451599121094
11,4.0,8.936083570931693,4.936083570931693,64.03645833634107,68.04596267432333,693.6279392385109,0.0,158.9542064666748
12,4.0,8.833410462792681,4.833410462792681,64.8008248342132,68.04595869484953,683.8739939653046,0.0,159.0034122467041
13,4.0,8.733664411737708,4.733664411737708,65.55687371669892,68.04595316844527,674.3981191150822,0.0,159.0421485900879
14,4.0,8.637010894675855,4.637010894675855,66.30232392041695,68.04595974720539,665.2160349942062,0.0,159.07052612304688
15,4.0,8.543493592913844,4.543493592913844,67.03573822533673,68.04595537048095,656.3318913268151,0.0,159.0887222290039
16,4.0,8.453078259001053,4.453078259001053,67.7562346604322,68.0459620347017,647.7424346051,0.0,159.09687614440918
17,4.0,8.365674069860093,4.365674069860093,68.46341334759909,68.04596021081511,639.4390366367088,0.0,159.09516716003418
18,4.0,8.281167222309627,4.281167222309627,69.15710121545686,68.04596583720803,631.4108861194145,0.0,159.08375549316406
19,4.0,8.199418646510969,4.199418646510969,69.83737717585929,68.04595873027732,623.644771418542,0.0,159.06274795532227
20,4.0,8.120303607165187,4.120303607165187,70.5043925394495,68.04595718805408,616.1288426806927,0.0,159.03252029418945
21,4.0,8.043671982155141,4.043671982155141,71.15842977826837,68.04595063386876,608.8488383047384,0.0,158.99307441711426
22,4.0,7.969391319797458,3.9693913197974577,71.79979461181352,68.0459480001991,601.7921753807584,0.0,158.94462776184082
23,4.0,7.897333186839283,3.8973331868392833,72.4288371645562,68.04594541126907,594.9466527497319,0.0,158.8874053955078
24,4.0,7.827376899584716,3.827376899584716,73.04585488455575,68.0459467245272,588.300805460548,0.0,158.8215103149414
25,4.0,7.7594104244720405,3.7594104244720405,73.65120045406154,68.04594831593022,581.8439903248438,0.0,158.7471923828125
26,4.0,7.69332136997555,3.69332136997555,74.24519017019982,68.04595409634426,575.5655301476772,0.0,158.6644744873047
27,4.0,7.629016563102484,3.6290165631024838,74.82815366463099,68.04596564871838,569.456573494736,0.0,158.57367324829102
28,4.0,7.566400907670252,3.5664009076702516,75.40037771601823,68.04596118059061,563.5080862286738,0.0,158.47485733032227
29,4.0,7.505388833012684,3.5053888330126837,75.9621372825317,68.04595490350992,557.7119391362049,0.0,158.36816024780273
30,4.0,7.445915543933918,3.4459155439339177,76.51357022338001,68.04595781884923,552.0619766737223,0.0,158.2537727355957
31,4.0,7.387965247204897,3.387965247204897,77.0542993545054,68.0459442813824,546.5566984844652,0.0,158.1318016052246
32,4.0,7.331550248628186,3.3315502486281856,77.58369169430296,68.04594248610675,541.1972736196776,0.0,158.00242614746094
33,4.0,7.276651662839725,3.2766516628397246,78.101421004422,68.04594069241199,535.9819079697738,0.0,157.86578750610352
34,4.0,7.223238984570569,3.2232389845705693,78.60731852354631,68.04595096406597,530.9077035342041,0.0,157.7220687866211
35,4.0,7.171270611195273,3.171270611195273,79.10131727325606,68.04596024477145,525.9707080635509,0.0,157.57137551903725
36,4.0,7.120705156216407,3.120705156216407,79.58345057053293,68.04595664189944,521.1669898405587,0.0,157.41396856307983
37,4.0,7.071487502222444,3.0714875022224444,80.05385707298215,68.04596525653727,516.4913127111322,0.0,157.24995827674866
38,4.0,7.023572260078912,3.023572260078912,80.51262582720491,68.04596534356341,511.9393647074966,0.0,157.07951259613037
39,4.0,6.976911617957853,2.976911617957853,80.95991717532509,68.04596096238723,507.50660370599604,0.0,156.9028296470642
40,4.0,6.93145085476921,2.93145085476921,81.39596404543512,68.04595156275656,503.18783120307495,0.0,156.7200345993042
41,4.0,6.887149620903541,2.887149620903541,81.8208909386261,68.04595201436565,498.9792139858364,0.0,156.5313105583191
42,4.0,6.843960201683656,2.8439602016836556,82.23493055902763,68.04594567947537,494.87621915994725,0.0,156.33683109283447
43,4.0,6.801781873609099,2.801781873609099,82.63895577598973,68.04594740892297,490.8692779928644,0.0,156.13670873641968
44,4.0,6.76057062598284,2.76057062598284,83.03319834040047,68.04594743059297,486.9542094683698,0.0,155.93105602264404
45,4.0,6.720377277773115,2.7203772777731148,83.4167332268587,68.04595421362593,483.1358413884459,0.0,155.71997737884521
46,4.0,6.681160054107967,2.681160054107967,83.78984451620435,68.04595943205506,479.41020514025683,0.0,155.50371170043945
47,4.0,6.642871686173995,2.6428716861739954,84.15278192385277,68.04595702449792,475.77281018652957,0.0,155.28225898742676
48,4.0,6.605480644407959,2.605480644407959,84.50576640058532,68.04595296782621,472.2206612187561,0.0,155.055890083313
49,4.0,6.568950931385389,2.5689509313853893,84.84900997128533,68.04595347683534,468.75033848161195,0.0,154.82471752166748
50,4.0,6.533248121325014,2.5332481213250144,85.18271068404334,68.04595524305495,465.35857152587636,0.0,154.58882904052734
51,4.0,6.498297669954061,2.498297669954061,85.50768097048407,68.04596145972532,462.0382786456358,0.0,154.3484344482422
52,4.0,6.46402367693434,2.4640236769343398,85.82469526268221,68.04595661958585,458.7822493087623,0.0,154.10357284545898
53,4.0,6.430474766330023,2.430474766330023,86.13295935564288,68.04594796360261,455.59510280135214,0.0,153.85439491271973
54,4.0,6.397698899082369,2.3976988990823687,86.4316483029797,68.0459522299497,452.481395412825,0.0,153.60101699829102
55,4.0,6.365609714646957,2.365609714646957,86.72173043975526,68.04595380323,449.43292289146086,0.0,153.34352493286133
56,4.0,6.3341803476771945,2.3341803476771945,87.00346128068735,68.0459552448945,446.4471330293335,0.0,153.08211517333984
57,4.0,6.3034488798620005,2.3034488798620005,87.27613283931511,68.04595135996374,443.52764358689,0.0,152.81684494018555
58,4.0,6.273379929245395,2.2733799292453947,87.54008146929695,68.04596137542006,440.67109327831247,0.0,152.54783058166504
59,4.0,6.243944927336632,2.2439449273366323,87.79556590989883,68.04596035979522,437.87476809698006,0.0,152.27518844604492
60,4.0,6.21512368657936,2.2151236865793598,88.04280627208931,68.04595482078456,435.1367502250392,0.0,151.99914741516113
61,4.0,6.186847062531437,2.186847062531437,88.28258042324647,68.04595096720008,432.4504709404865,0.0,151.71967315673828
62,4.0,6.159097681509795,2.1590976815097953,88.51508532327308,68.04595421588411,429.8142797434306,0.0,151.4369602203369
63,4.0,6.131884575293067,2.131884575293067,88.74008535056,68.04594716662496,427.22903465284134,0.0,151.1511001586914
64,4.0,6.10518543406771,2.1051854340677103,88.95781566078438,68.04595272307998,424.69261623643246,0.0,150.862211227417
65,4.0,6.0790512805395105,2.0790512805395105,89.1674400892415,68.0459537227892,422.2098716512535,0.0,150.5704002380371
66,4.0,6.053454936098878,2.053454936098878,89.36922569418823,68.04595976694928,419.77821892939335,0.0,150.2757167816162
67,4.0,6.028338426821316,2.028338426821316,89.5639630877976,68.0459561459973,417.39215054802503,0.0,149.9783000946045
68,4.0,6.0036846219895805,2.0036846219895805,89.75183154238498,68.045949184339,415.05003908901017,0.0,149.67824745178223
69,4.0,5.979542349233093,1.9795423492330926,89.9319830395086,68.04594637373273,412.7565231771438,0.0,149.37558364868164
70,4.0,5.955897718211433,1.9558977182114328,90.10463964117879,68.04595135618125,410.5102832300861,0.0,149.07056045532227
71,4.0,5.932731135353134,1.9327311353531336,90.26994211000947,68.04595637162511,408.3094578585477,0.0,148.7631378173828
72,4.0,5.909992612831777,1.9099926128317772,90.42867277457792,68.04595879928284,406.1492982190188,0.0,148.45355224609375
73,4.0,5.8876252676826635,1.8876252676826635,90.58156568978009,68.04595750726584,404.024400429853,0.0,148.14175415039062
74,4.0,5.865680474235213,1.865680474235213,90.72778659465176,68.04595847711913,401.9396450523452,0.0,147.8278350830078
75,4.0,5.844213802000647,1.844213802000647,90.86651264362558,68.04596102813986,399.9003111900615,0.0,147.51203536987305
76,4.0,5.823198226885221,1.8231982268852214,90.99800191153484,68.0459622821728,397.90383155409603,0.0,147.19427871704102
77,4.0,5.802625908080138,1.8026259080801381,91.12238419929129,68.04594863519829,395.9494612676131,0.0,146.87475204467773
78,4.0,5.782493213899211,1.782493213899211,91.23970259964086,68.04595090876697,394.03685532042505,0.0,146.5536003112793
79,4.0,5.762800018892648,1.7628000188926478,91.34988919668136,68.04594250716022,392.16600179480156,0.0,146.23087310791016
80,4.0,5.7435002823735735,1.7435002823735735,91.45367646725309,68.04594538606322,390.3325268254895,0.0,145.9067268371582
81,4.0,5.72458187560033,1.7245818756003297,91.55114347047427,68.04594742921387,388.53527818203133,0.0,145.58111572265625
82,4.0,5.70611766919573,1.7061176691957298,91.6411988165295,68.04594775864248,386.78117857359433,0.0,145.2542954981327
83,4.0,5.68809157308963,1.68809157308963,91.72404943027135,68.04594706520415,385.06869944351484,0.0,144.926331281662
84,4.0,5.670446915831368,1.6704469158313682,91.80052696011647,68.04595359085731,383.39245700398,0.0,144.59722638130188
85,4.0,5.653129888325719,1.6531298883257186,91.87149803398951,68.04596582415019,381.74733939094324,0.0,144.2670865058899
86,4.0,5.636198790650939,1.6361987906509388,91.93602467898961,68.04596285995727,380.13888511183916,0.0,143.93603086471558
87,4.0,5.6197055679444725,1.6197055679444725,91.99324503965151,68.04595866356588,378.5720289547249,0.0,143.60415315628052
88,4.0,5.603584919843994,1.6035849198439944,92.04415777827516,68.04594932958963,377.04056738517943,0.0,143.27145957946777
89,4.0,5.587823033652884,1.5878230336528842,92.08904679517616,68.04595596622656,375.543188197024,0.0,142.93813800811768
90,4.0,5.572469624360551,1.5724696243605507,92.1270762828772,68.04595695267048,374.0846143142523,0.0,142.6042594909668
91,4.0,5.557506809800352,1.5575068098003522,92.15853375498784,68.04595554216999,372.66314693103345,0.0,142.26991081237793
92,4.0,5.54291889348688,1.5429188934868803,92.18368108491829,68.04595822230013,371.2772948812536,0.0,141.93518543243408
93,4.0,5.528692928740825,1.528692928740825,92.20273376698636,68.04596094657845,369.92582823037833,0.0,141.6001672744751
94,4.0,5.514819695348864,1.514819695348864,92.21584548610767,68.04595652403837,368.60787105814205,0.0,141.2649335861206
95,4.0,5.501249932005803,1.5012499320058028,92.22381643375277,68.04595445966359,367.3187435405513,0.0,140.92951774597168
96,4.0,5.487937609225529,1.4879376092255292,92.22742949107204,68.04595646656323,366.05407287642527,0.0,140.593994140625
97,4.0,5.474899693929047,1.4748996939290473,92.22643238945254,68.04594849647852,364.81547092325945,0.0,140.2584629058838
98,4.0,5.462180783748856,1.462180783748856,92.22011849839268,68.04595545972204,363.6071744561413,0.0,139.9230442047119
99,4.0,5.449823230540012,1.4498232305400123,92.2078006444742,68.0459519091665,362.43320690130116,0.0,139.58783721923828
100,4.0,5.437803691708715,1.437803691708715,92.18981083361595,68.04595847080795,361.2913507123279,0.0,139.25280380249023
101,4.0,5.42610831642754,1.4261083164275403,92.16643605159179,68.04595661333222,360.18029006061636,0.0,138.9180736541748
102,4.0,5.414719979455672,1.414719979455672,92.13792432772372,68.04596116448592,359.0983980482888,0.0,138.58362770080566
103,4.0,5.403631282190998,1.4036312821909984,92.1045113884835,68.04596334076108,358.04497180814485,0.0,138.24967193603516
104,4.0,5.3928301741163835,1.3928301741163835,92.06640376098267,68.0459604214192,357.0188665410564,0.0,137.91624450683594
105,4.0,5.382307143601228,1.3823071436012278,92.02376998094576,68.04595579294455,356.01917864211663,0.0,137.58338737487793
106,4.0,5.372053844051255,1.3720538440512549,91.97677259914919,68.0459571218505,355.0451151848692,0.0,137.25115966796875
