Time (s),Speed (km/h),Is Curved,Pitch (deg)
0.0,0.0,False,0.0
0.11287927627563477,0.0014277591524673853,False,0.0
0.2213735580444336,0.006435035588582285,False,0.0
0.33114147186279297,0.0007321014078420241,False,0.0
0.439241886138916,0.01200127601638889,False,0.0
0.5486905574798584,0.34550742862720857,False,0.0
0.657989501953125,3.12148261629709,False,0.0
0.7681701183319092,4.5396093069589805,False,0.0
0.8768880367279053,5.780253310255628,False,0.0
0.985023021697998,6.650041314486967,False,0.0
1.0936729907989502,8.452143842182833,False,0.0
1.2031314373016357,10.297203889542375,False,0.0
1.3122048377990723,12.767666848293356,False,0.0
1.4215929508209229,15.670901054079705,False,0.0
1.5304784774780273,17.856476003027527,False,0.0
1.6386926174163818,20.123876362078768,False,0.0
1.748558521270752,21.640094348690035,False,0.0
1.8568987846374512,20.793043134964872,False,0.0
1.9667370319366455,19.494317542312977,False,0.0
2.0759122371673584,19.152164084094995,False,0.0
2.1850662231445312,20.141517035761996,False,0.0
2.2947914600372314,21.215276042669256,False,0.0
2.4031224250793457,20.276342795902767,False,0.0
2.5123395919799805,19.286558827902663,False,0.0
2.622349739074707,19.533697543275235,False,0.0
2.7304270267486572,20.714093795900727,False,0.0
2.8389203548431396,20.865787530281008,False,0.0
2.9489760398864746,19.945518880480787,False,0.0
3.0589828491210938,19.391364933201597,False,0.0
3.1680099964141846,20.20145932531275,False,0.0
3.2769124507904053,20.899713904281068,False,0.0
3.386200189590454,20.182839434905397,False,0.0
3.49491286277771,19.46933896232071,False,0.0
3.6047446727752686,19.99528159103792,False,0.0
3.7135348320007324,21.017792640031676,False,0.0
3.8223776817321777,20.34841248024707,False,0.0
3.931427001953125,19.33748209556648,False,0.0
4.041224718093872,19.66406424190346,False,0.0
4.149505138397217,20.826009014136954,False,0.0
4.257699966430664,20.70180302276133,False,0.0
4.3658812046051025,19.77953007293916,False,0.0
4.475114345550537,19.474958882135827,False,0.0
4.583288669586182,20.455215824479687,False,0.0
4.692359924316406,20.74891771368023,False,0.0
4.80134129524231,19.878555393386723,False,0.0
4.910297155380249,19.55181026486796,False,0.0
5.020432710647583,20.15462034071238,False,0.0
5.129376173019409,20.843192827786535,False,0.0
5.2376627922058105,20.333974212069105,False,0.0
5.346787452697754,19.482767222338254,False,0.0
5.456090211868286,19.99381244522881,False,0.0
5.564913272857666,20.910495578299418,False,0.0
5.673763990402222,20.567291761742585,False,0.0
5.78235936164856,19.477489990074226,False,0.0
5.891246318817139,19.722385173189082,False,0.0
6.0003907680511475,20.583851356830962,False,0.0
6.109471082687378,20.558325273428977,False,0.0
6.219183921813965,19.940463297936027,False,0.0
6.328100204467773,19.723015213934932,False,0.0
6.436874866485596,20.367229022396597,False,0.0
6.545956611633301,20.671159168609577,False,0.0
6.654852390289307,20.073291966402316,False,0.0
