Step,Desired Gap (s),Actual Gap (s),Error (s),Ego Speed (km/h),Target Speed (km/h),Incremental Torque (Nm),Incremental Brake Torque (Nm)
0,4.0,7.4279850973537895,3.4279850973537895,73.52638698667862,67.95947152344773,749.0,0.0
1,4.0,7.361365564502356,3.361365564502356,74.15151370397048,67.9594714070794,734.3437027726847,0.0
2,4.0,7.295429571407141,3.2954295714071407,74.77682709194286,67.9594714070794,719.8377842917372,0.0
3,4.0,7.2279752270551425,3.2279752270551425,75.4248799127801,67.9594714070794,704.9978285342976,0.0
4,4.0,7.161831387111973,3.161831387111973,76.06684044773286,67.9594714070795,690.4461837468003,0.0
5,4.0,7.096756653747069,3.096756653747069,76.70459439380518,67.9594714070794,676.1297424065215,0.0
6,4.0,7.032933345137468,3.032933345137468,77.33584251848578,67.95947140707945,662.0886145124092,0.0
7,4.0,6.970347067373248,2.9703470673732477,77.96037684232859,67.95947140707949,648.3196334042808,0.0
8,4.0,6.908971839684348,2.908971839684348,78.57799083753838,67.95947140707949,634.8170833127228,0.0
9,4.0,6.848777994256129,2.848777994256129,79.1884617205595,67.95947140707942,621.5744373185147,0.0
10,4.0,6.789732751938014,2.789732751938014,79.79184001249197,67.95947140707945,608.5844840085293,0.0
11,4.0,6.731764040771072,2.731764040771072,80.388486805322,67.95947140707953,595.831367551802,0.0
12,4.0,6.674811299797408,2.6748112997974083,80.97863983273348,67.9594714070794,583.301764537596,0.0
13,4.0,6.618815105493337,2.6188151054933373,81.56286169552392,67.9594714070794,570.9826017907004,0.0
14,4.0,6.563677177601639,2.5636771776016394,82.14169888926281,67.9594714070794,558.8522576545269,0.0
15,4.0,6.509635364659935,2.5096353646599354,82.71211514286118,67.9594714070794,546.963058807352,0.0
16,4.0,6.457134133398825,2.4571341333988252,83.26780235346608,67.95947140707943,535.4127879299077,0.0
17,4.0,6.406498863025042,2.4064988630250417,83.80388047037775,67.95947140707943,524.2730284476753,0.0
18,4.0,6.357953418514984,2.3579534185149837,84.31677579621115,67.9594714070794,513.5930306554626,0.0
19,4.0,6.311592355294607,2.311592355294607,84.804232170128,67.95947140707948,503.39359674697977,0.0
20,4.0,6.267487198656094,2.2674871986560943,85.26446362179492,67.95947140707949,493.69046228650694,0.0
21,4.0,6.225644778802857,2.225644778802857,85.6966396681216,67.95947140707952,484.4851299187947,0.0
22,4.0,6.1860290778321,2.1860290778321003,86.10032214093125,67.95947140707946,475.7696757052283,0.0
23,4.0,6.148583154862292,2.1485831548622922,86.47545096025986,67.95947140707959,467.5315726518705,0.0
24,4.0,6.1132434571773,2.1132434571773,86.82232806437482,67.95947140707959,459.75683916117225,0.0
25,4.0,6.079920399297221,2.0799203992972206,87.1414503720434,67.95947140707942,452.4257664275547,0.0
26,4.0,6.048540668096876,2.0485406680968756,87.43357083574114,67.95947140707946,445.5222255634788,0.0
27,4.0,6.019015637566947,2.0190156375669472,87.69943463829074,67.95947140707942,439.02671884689454,0.0
28,4.0,5.991251772107773,1.9912517721077734,87.93997099277352,67.9594714070794,432.9186684458763,0.0
29,4.0,5.965145068545822,1.965145068545822,88.15630156865096,67.9594714070794,427.175193662247,0.0
30,4.0,5.940620507645369,1.9406205076453693,88.34934933766394,67.95947140707942,421.77979026414744,0.0
31,4.0,5.91758501482851,1.9175850148285098,88.52014927846298,67.95947140707942,416.71198184443836,0.0
32,4.0,5.895959021572025,1.8959590215720246,88.66980364598388,67.9594714070794,411.9542633280116,0.0
33,4.0,5.875662575763122,1.8756625757631218,88.79916904476445,67.9594714070794,407.489045250053,0.0
34,4.0,5.856626718646565,1.8566267186465648,88.90947045896858,67.9594714070794,403.30115668441044,0.0
35,4.0,5.838771799459171,1.8387717994591712,89.00146888952438,67.9594714070794,399.37307446318385,0.0
36,4.0,5.822042477667086,1.822042477667086,89.07620887190177,67.9594714070794,395.69262366892514,0.0
37,4.0,5.8063704935700144,1.8063704935700144,89.13457163702164,67.95947140707942,392.24478716756937,0.0
38,4.0,5.791683310398825,1.7916833103988248,89.17754352828565,67.9594714070794,389.0136068699076,0.0
39,4.0,5.777931916433735,1.7779319164337348,89.20601165892376,67.95947140707943,385.9883001975878,0.0
40,4.0,5.765065825654882,1.7650658256548821,89.22076237643051,67.95947140707945,383.1577602262402,0.0
41,4.0,5.753027928950252,1.7530279289502522,89.22258729843416,67.9594714070794,380.5094229512216,0.0
